CSZJJ,Alt Title,Result OK?,Kaiyuan Lu Fascicle,Notes
道地經中要語章,小道地經,Y,1,
颰披陀菩薩經,拔陂菩薩經,Y,1,
魔王入目犍蘭腹經,魔嬈亂經,Y,3,
佛併父弟調達經,魔嬈亂經,N,,
中阿含本文,一切流攝守因經,N,,
中阿含本文,四諦經,N,,
中阿含本文,是法非法經,N,,
中阿含本文,漏分布經,N,,
中阿含本文,婆羅門子命終愛念不離經,N,,
中阿含本文,十支居士八城人經,N,,
中阿含本文,普法義經,N,,
中阿含本文,阿那律八念經,N,,
中阿含本文,七知經,N,,
中阿含本文,諸法本經,N,,
中阿含本文,弊魔試目連經,N,,
中阿含本文,賴吒和羅經,N,,
中阿含本文,齋經,N,,
中阿含本文,離睡經,N,,
中阿含本文,受歲經,N,,
中阿含本文,樂想經,N,,
中阿含本文,尊上經,N,,
中阿含本文,意經,N,,
中阿含本文,應法經,N,,
中阿含本文,恒水經,N,,
中阿含本文,頂生王故事經,N,,
中阿含本文,求欲經,N,,
中阿含本文,苦陰因事經,N,,
中阿含本文,瞻婆比丘經,N,,
中阿含本文,伏婬經,N,,
中阿含本文,數經,N,,
中阿含本文,泥犁經,N,,
中阿含本文,阿耨風經,N,,
中阿含本文,佛為黃竹園老婆羅門說學經,N,,
中阿含本文,邪見經,N,,
中阿含本文,閻羅王五天使者經,N,,
聽施比丘經,比丘聽施經,Y,20,
八念經,阿那律八念經,Y,13,
月光童子經,申日兒本經,N,,
大愛道般泥洹經,佛母般泥洹經,Y,15,
五母子經,沙彌羅經,N,,
文陀竭王經,頂生王故事經,N,,
分惒檀王經,須摩提女經,Y,2,
十二死經,十二品生死經,Y,15,
治身經,佛治身經,Y,20,
兜調經,鸚鵡經,Y,20,
十夢經,舍衛國王夢見十事經,Y,"2, 20",
孝子睒經,睒子經,Y,19,
玉耶女經,玉耶經,Y,20,
阿拔經,佛開解梵志阿颰經,Y,"2, 20",
太子和休經,太子刷護經,N,,
分陀利經,薩曇分陀利經,Y,19,
小須賴經,須賴經,N,,
抄寶積經,摩訶衍寶嚴經,N,,
異了本生死經,了本生死經,N,,
大愛道受誡經,大愛道比丘尼經,Y,13,
不退轉經,不退轉法輪經,Y,20,
七智經,七知經,Y,20,
難龍王經,龍王兄弟經,Y,20,
阿難為蠱道呪經,摩登伽經,Y,1,
大珍寶積惟日經,摩訶衍寶嚴經,N,,
大珍寶積惟日經,大寶積經,N,,
沙彌羅經,五母子經,N,,
八德經,海八德經,Y,15,
八德經,法海經,Y,2,
曇無德四分律,四分律,N,,
分別功德經,分別功德論,Y,20,
未曾有因經,甚希有經,N,,
大乘方便經,慧上菩薩問大善權經,N,,
那先經,那先比丘經,Y,20,
舊譬喻經,雜譬喻經,N,,
請觀世音經,請觀世音菩薩消伏毒害陀羅尼呪經,Y,19,
菩薩緣身五十事經,菩薩行五十緣身經,Y,20,
菩薩戒經,菩薩地持經,Y,4,
迦葉赴佛泥洹經,迦葉赴佛般涅槃經,N,,
目連降龍經,龍王兄弟經,Y,5,
阿難或經,人本欲生經,N,,
優陀夷坐樹下寂靜調伏經,雜阿含經,N,,
調達問佛顏色經,出曜經,N,,
比丘問佛何故捨世學道經,出曜經,N,,
瞿曇彌經,瞿曇彌記果經,Y,13,
佛母般泥洹經,大愛道般泥洹經,Y,5,
比丘尼現變經,生經,N,,
沙彌尼戒,沙彌尼戒經,Y,,
弟子為耆域術慢戒經,阿難問事佛吉凶經,N,,
魔王入苦宅經,魔嬈亂經,N,,
波斯匿王承佛神力到寶坊經,大方等大集經,N,,
長者威施所問菩薩修行經,菩薩修行經,Y,1,
長者詣佛說子婦不恭經,玉耶經,N,,Correct but seems to have got the information elsewhere than the Kaiyuan Lu
長者詣佛說子婦不恭經,玉耶女經,N,,Correct but seems to have got the information elsewhere than the Kaiyuan Lu
十支居士八城人經,十支居士八城人經,Y,,Same
婆羅門子命終愛念不離經,婆羅門子命終愛念不離經,Y,,Same
寶女問慧經,寶女所問經,Y,11,
三摩竭經,須摩提女經,Y,20,
摩鄒女經,摩登伽經,Y,1,
摩鄧女經,摩登伽經,Y,1,
尸迦羅越六向拜經,尸迦羅越六方禮經,Y,3,
子命過經,生經,N,,
那先經,那先比丘經,Y,,Appeared twice
申日兜本經,申日兒本經,Y,,Minor difference in variant characters
鸚鵡經,兜調經,Y,3,
菩薩身為鴿王經,六度集經,N,,
孔雀經,孔雀王呪經,Y,,But it did not seem to get it from the Kaiyuan Lu
孔雀經,佛說大金色孔雀王呪經,N,,
赤[口*(隹/乃)]烏經,雜譬喻經,N,,
牧牛經,放牛經,Y,3,
[狂-王+樂]狗齧王經,猘狗經,N,,
鬼問目連經,餓鬼報應經,N,,
鐵城泥犁經,閻羅王五天使者經,Y,13,
