bib_id,abbreviation,authors,title,type,ref,file,num_pages
schlosser_2016,"Schlosser,  “Bodhisattva Path,”",Schlosser,On the Bodhisattva Path in Gandhāra: Edition of Fragment 4 and 11 from the Bajaur Collection of Kharoṣṭhī Manuscripts,dissertation,"Schlosser, Andrea. “On the Bodhisattva Path in Gandhāra: Edition of Fragment 4 and 11 from the Bajaur Collection of Kharoṣṭhī Manuscripts.” PhD Thesis, University of Berlin, 2016. https://refubium.fu-berlin.de/bitstream/handle/fub188/4734/Diss_Schlosser_2016.pdf.
",Schlosser_phd.pdf,317
hultzsch,"Hultzsch, Inscriptions of Asoka,",Hultzsch,Inscriptions of Asoka,book,"Hultzsch, E. *Inscriptions of Asoka*. Oxford: Clarendon Press, 1925. https://archive.org/details/InscriptionsOfAsoka.NewEditionByE.Hultzsch/page/n1/mode/2up.
",Inscriptions-Of-Asoka_text.pdf,87
oldenberg,"Oldenberg, Dīpavaṃsa,",Oldenberg,Dīpavaṃsa: An Ancient Buddhist Historical Record,book,"Oldenberg, Herman. *Dīpavaṃsa: An Ancient Buddhist Historical Record*. Edinburgh: Williams and Norgate, 1879. https://archive.org/details/dpavasaanancien00oldegoog/mode/2up.
",dipavamsaancient.pdf,227
taranatha,"Tāranātha, History of Buddhism,",Tāranātha,Tāranātha’s History of Buddhism in India,book,"Tārānātha. *Tāranātha’s History of Buddhism in India*. Translated by Lama Chimpa and Alaka Chattopadhyaya. Ebook. Delhi: Motilal Banarsidass Publications, 1970. https://archive.org/details/TaranathasHistoryOfBuddhismInIndia .
",Taranatha’s History of Buddhism in India.pdf,471
wasler2005,"Walser, Nāgārjuna in Context,",Walser,Nāgārjuna in Context: Mahāyāna Buddhism and Early Indian Culture,book,"Walser, Joseph. *Nāgārjuna in Context: Mahāyāna Buddhism and Early Indian Culture*. New York: Columbia University Press, 2005.
",,
murthy1977,"Murthy, Nāgārjunakoṇḍā,",Murthy,Nāgārjunakoṇḍā: A Cultural Study,book,"Murthy, K. Krishna. *Nāgārjunakoṇḍā: A Cultural Study*. Delhi: Concept Publishing Company, 1977.
",,
nattier2008,"Nattier, Earliest Chinese Translations,",Nattier,A Guide to the Earliest Chinese Buddhist Translations : Texts from the Eastern Han 東漢 and Three Kingdoms 三國 Periods,book,"Nattier, Jan. *A Guide to the Earliest Chinese Buddhist Translations : Texts from the Eastern Han 東漢 and Three Kingdoms 三國 Periods*. Tokyo: International Research Institute for Advanced Buddhology, Soka University, 2008.
",A Guide to the Earliest Chinese Buddhist Translations Texts from the Eastern Han and Three Kingdoms Periods (2008) ISBN 978-4-904234-00-6.pdf,419
kudo2015,"Kudo, “Gilgit Saddharmapuṇḍarīkasūtra,”",Kudo,"Gilgit Saddharmapuṇḍarīkasūtra Manuscript In the British Library, Or. 11878B–G",paper,"Kudo, Noriyuki. “Gilgit Saddharmapuṇḍarīkasūtra Manuscript In the British Library, Or. 11878B–G.” *Annual Report of the International Research Institute for Advanced Buddhology* at Soka 18 (2015): 197–213.
",kudo2015.pdf,16
braarvig_liland2010,"Braarvig and Liland, Traces of Gandharan Buddhism,",Braarvig and Liland,Traces of Gandharan Buddhism: An Exhibition of Ancient Buddhist Manuscripts in the Schøyen Collection,book,"Braarvig, Jens, and Fredrik Liland. *Traces of Gandharan Buddhism: An Exhibition of Ancient Buddhist Manuscripts in the Schøyen Collection*. Oslo: Hermes Publishing, 2010.
",,
salomon1998,"Salomon, Indian Epigraphy,",Salomon,"Indian Epigraphy: A Guide to the Study of Inscriptions in Sanskrit, Prakrit, and the Other Indo-Aryan Languages",book,"Salomon, Richard. *Indian Epigraphy: A Guide to the Study of Inscriptions in Sanskrit, Prakrit, and the Other Indo-Aryan Languages*. New York: Oxford University Press, 1998. https://archive.org/details/indianepigraphyg0000salo.
",Indian Epigraphy_A Guide to the Study of Inscriptions in Sanskrit Prakrit and Other Indo-Aryan Languages_Salomon.pdf,351
