CSZJJ No.,CSZJJ Title,Taisho No.,File,Summary
665,內外六波羅蜜經,T 778,$nti/t0778_01.txt,"This text describes the six perfections (檀波羅蜜, 尸波羅蜜, 羼提波羅蜜, 惟逮波羅蜜, 禪波羅蜜, 般若波羅蜜) as internal practices for Bodhisattvas, focusing on controlling the senses and mind to overcome negative qualities like greed, anger, and ignorance. Each perfection corresponds to a specific sense organ, with generosity linked to the body, morality to the eye, patience to the ear, diligence to the nose, meditation to the mouth, and wisdom to the mind. Through these practices, one can purify the mind, achieve enlightenment, and ultimately reach Nirvana by understanding the emptiness and impermanence of all things."
832,大比丘威儀經,T 1470,,"This text outlines various aspects of monastic life for Buddhist monks, covering practices ranging from asceticism and proper conduct to duties and responsibilities within the sangha (monastic community). It details rules for daily activities like eating, dressing, and interacting with laypeople, as well as guidelines for senior monks (Upadhyayas/Acharyas) in guiding junior monks and managing the monastery. It emphasizes adherence to precepts, maintaining purity, and cultivating qualities like diligence, compassion, and respect within the monastic order. Additionally, the text describes proper procedures and regulations for various ceremonies, such as Uposatha, and the importance of ethical conduct."
834,觀無量壽經,T 365,,"This text, the ""Contemplation Sutra,"" tells the story of Queen Vaidehi, imprisoned by her son, and her plea to the Buddha for a place of peace. The Buddha appears and shows her various Buddha lands, leading her to choose the Pure Land of Amitabha. He then teaches her and all beings sixteen visualizations to achieve rebirth in this Pure Land, a realm of immense beauty and enlightenment, by contemplating its features and Amitabha Buddha. The text emphasizes that even those who have committed wrongdoings can be reborn in the Pure Land through repentance and devotion to Amitabha."
842,採華違王上佛授記妙華經,T 510,,"The story recounts how a group of flower gatherers, tasked with providing flowers for the king, encountered the Buddha and offered their flowers to him instead. Realizing they disobeyed the king's order and could face execution, they prepared for the worst. The king, angered by their disobedience and curious about their lack of fear, learned from the Buddha that their act of devotion led to a prediction (授決) of their future Buddhahood, named ""妙華如來"" (Wonderful Flower Tathagata), and that their baskets miraculously remained full of fragrant flowers as a result of their faith. The king, amazed and repentant, released them and sought forgiveness for his initial anger."
851,佛以三事笑經,T 152 (65),,"This text recounts a story where the Buddha laughs three times while walking through a city. The first instance is triggered by a grieving old man selling fish, lamenting the death of his son who used to do the same work, and the second by a pig bathing in urine. The Buddha explains to Ananda that the laughter arises from the old man's hypocrisy of killing living beings and blaming heaven for his misfortune, the former emperor now reduced to selling fish, and the previous emperor who used up his merit and is now suffering the consequences for not detaching from earthly attachments. Finally, the Buddha highlights his past virtuous actions of devoutly listening to the Dharma, which led him to Buddhahood, contrasting it with his neighbor's wicked ways that resulted in endless suffering."
855,作佛形像經,T 692,,"The text describes a conversation between the Buddha and King Udayana, a young ruler eager to learn about the benefits of creating Buddha images. The Buddha explains that making Buddha images leads to auspicious rebirths, characterized by physical beauty, wealth, noble status, and ultimately, the path to Nirvana. The king and his ministers, delighted by this teaching, pay homage to the Buddha and are later reborn in Amitabha's Pure Land."
859,稱揚諸佛功德經,T 434,,"This text, a sutra translated by Jikaya of the Yuan Wei dynasty, details the merits of reciting the names of various Buddhas. Shakyamuni Buddha, responding to Shariputra's inquiry, describes numerous Buddhas in different worlds of the Eastern, Southern, Northern and Upper directions, explaining the benefits of hearing, reciting, and revering their names, which include purification of sins, liberation from suffering, and attainment of enlightenment. It also warns against slandering the sutra, detailing the negative consequences of such actions, and promotes sincere faith and propagation of the Buddhas' virtues. The sutra emphasizes that hearing and reciting the names of these Buddhas is a powerful means of accumulating merit and progressing on the path to enlightenment."
863,八部佛名經,T 429,,"The Buddha, while residing in a garden with a large assembly of monks and bodhisattvas, is approached by a layman named Good Deeds who asks about Buddhas currently teaching in the world. The Buddha then describes eight Buddhas in the East, each with a unique name and residing in a distinct world, emphasizing the merit and protection gained by reciting their names. By upholding these names and teaching them to others, one can achieve increased virtue, avoid negative experiences, and even gain protection from various dangers and adversaries."
874,觀藥王藥上二菩薩經,T 1161,,"The text is a Buddhist scripture called ""The Sutra on Visualizing the Two Bodhisattvas, Medicine King and Medicine Superior,"" in which the Buddha is in a meditative state, emitting light that reveals the two Bodhisattvas. The scripture details the past lives, vows, and virtues of these Bodhisattvas, as well as mantras to recite for purification and healing. It explains how visualizing and honoring them can lead to liberation from suffering, purification of karmic debts, and future Buddhahood. The sutra emphasizes that faith and practice related to these bodhisattvas can bring immense blessings in both this life and future lives."
875,請觀世音經,T 1043,,"This sutra describes a crisis in the city of Vaisali where people are afflicted with terrible illnesses caused by malevolent spirits. The Buddha, upon request from a worried elder, instructs the people to seek refuge in Avalokitesvara (Guanyin) and Amitabha Buddha of the Western Pure Land. Guanyin appears and teaches a dharani (mantra/spell) to eliminate the poisons and harm, as well as avert future disasters. The sutra emphasizes the power of reciting Guanyin's name and the dharani to overcome suffering, dispel fear, and attain peace and enlightenment."
