CSZJJ,Taisho No.,top_level_genre,taisho_genre,is_mahayana,parable_or_miracle_tale,commentary_type,is_dialog,speaker,contains_dharani,philosophical_argumentation,contains_rhetoric,karmic_retribution,historical_people,deities,places,text_references,notes,error
四十二章經,T 784,sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra_text_analysis_from_provided_text_and_rubric_point_by_point_now_i_will_generate_the_final_json_output.sutra,0,False,,,False,,False,False,False,False,[],[],[],[],,
陰持入經,T 603,sutra,0,False,,,False,,False,False,False,False,[],[],[],[],,
大道地經,T 607,"sutra_text_in_Chinese_by_An_Shigao_of_the_Later_Han_dynasty._The_title_itself,_containing_'jing'_(_經_),_classifies_it_as_a_sūtra._Its_content_is_a_direct_exposition_of_Buddhist_teachings_rather_than_a_commentary_or_vinaya_code._taisho_genre_collected_sutras_the_text_was_translated_by_an_shigao,_a_prominent_translator_of_early_buddhist_texts._the_content_covers_various_fundamental_buddhist_doctrines_and_practices,_such_as_the_five_aggregates,_meditation,_impermanence,_and_karma._while_some_of_an_shigao's_works_are_categorized_as_abhidharma_or_treatises,_this_text_presents_a_broad_range_of_sūtra-like_teachings_on_the_path_to_liberation,_fitting_the_'collected_sūtras'_category._is_mahayana_false_the_doctrines_and_practices_described_in_the_text_are_foundational_to_early_buddhism_and_do_not_include_distinctively_mahayana_concepts_such_as_the_universal_bodhisattva_path_or_mahāyāna_emptiness_(śūnyatā)_in_its_later_developed_sense._the_translator,_an_shigao,_is_also_primarily_associated_with_the_translation_of_early_buddhist_literature._parable_or_miracle_tale_parable_the_text_employs_numerous_analogies_and_similes_to_explain_buddhist_teachings,_particularly_regarding_the_nature_of_the_body,_impermanence,_and_the_process_of_birth_and_death._examples_include_likening_the_body_to_a_foam_bubble,_a_rotten_sack,_or_comparing_the_search_for_fire_by_drilling_wood_to_meditation_practice._these_are_used_as_expedient_means_to_illustrate_the_dharma._commentary_type_the_text_is_a_sūtra_and_not_a_commentary,_abhidharma_text,_or_treatise._is_dialog_false_the_text_is_primarily_a_monological_exposition_or_discourse,_attributed_to_the_buddha._while_it_contains_rhetorical_questions,_these_are_immediately_answered_by_the_speaker,_not_part_of_an_interactive_dialogue._speaker_buddha_the_text_explicitly_states_""buddha_said""_(佛言)_and_is_presented_as_teachings_delivered_by_the_buddha._contains_dharani_false_there_are_no_dharanis_(incantations)_present_in_the_text._philosophical_argumentation_true_the_text_systematically_analyzes_core_buddhist_concepts_such_as_the_five_aggregates,_the_nature_of_the_body,_and_the_stages_of_meditation_(śamatha-vipaśyanā)._it_provides_reasoned_explanations_for_impermanence,_suffering,_and_non-self,_particularly_in_the_detailed_description_of_the_human_body's_formation_and_decay._contains_rhetoric_true_the_text_uses_vivid_and_persuasive_language,_including_numerous_similes_and_metaphors,_to_emphasize_the_unpleasant_and_impermanent_nature_of_existence,_such_as_the_graphic_descriptions_of_death_and_bodily_decomposition._karmic_retribution_true_chapter_5_explicitly_describes_the_process_of_karmic_retribution,_explaining_how_good_and_bad_actions_in_past_lives_determine_one's_rebirth_into_different_realms_like_hell,_the_animal_realm,_the_hungry_ghost_realm,_the_human_realm,_or_the_heavenly_realms._historical_people_[]_the_text_does_not_mention_any_specific_historical_figures_by_name_within_its_narrative_other_than_the_buddha._deities_[""Heavenly_beings""]_the_text_mentions_""heavenly_beings""_(天)_as_a_realm_of_rebirth_resulting_from_good_karma._no_other_specific_buddhas_or_bodhisattvas_are_named._places_[]_the_text_mentions_generic_locations_such_as_gardens,_mountains,_pits,_and_graveyards_in_its_analogies_and_descriptions_of_rebirth,_but_no_specific_historical_places._text_references_[]_as_a_sūtra,_the_text_does_not_comment_on_or_explicitly_reference_other_specific_sūtras_by_name._notes_this_text_is_an_early_buddhist_sūtra_translated_by_an_shigao_in_the_later_han_dynasty._it_systematically_presents_core_buddhist_teachings_on_the_stages_of_the_path_to_liberation,_the_nature_of_the_five_aggregates,_meditation_practices_like_śamatha-vipaśyanā_(止觀),_and_the_principles_of_karma_and_rebirth._the_extensive_use_of_parables_and_rhetoric_serves_to_illustrate_these_teachings_and_persuade_the_practitioner._it_does_not_contain_elements_distinctive_of_mahāyāna_buddhism_or_dhāraṇīs.The text is called ""Dao Di Jing"" (道地經), where ""經"" means sutra. It is an exposition of Buddhist principles and practices, fitting the description of a sutra.The text was translated by An Shigao, a renowned figure for early Buddhist translations, particularly those focused on meditation and Abhidharma. The content, which systematizes various Buddhist teachings on the path (如是行者，但當一切捨，使行道地從後來 - practitioners should abandon everything to follow the path-stages), is suitable for the 'Collected Sūtras' category. The text does not contain distinctly Mahāyāna doctrines such as universal salvation, the Trikāya, or a highly developed concept of śūnyatā as found in Prajñāpāramitā sūtras. It focuses on individual liberation through understanding suffering, impermanence, and non-self, consistent with early Buddhist teachings. The text utilizes numerous analogies and similes to clarify complex teachings, such as comparing the body to various decaying objects, or the process of seeking fire from wood to the practice of meditation. These are primarily explanatory rather than miraculous tales of salvation. The text is a primary discourse, not a commentary on another work, nor an Abhidharma treatise in the scholastic sense. The text is presented as a continuous teaching, primarily by the Buddha, rather than an interactive dialogue between multiple parties. While rhetorical questions are posed, the answers are immediately supplied by the speaker. The Buddha is clearly identified as the speaker (e.g., ""佛言"" - The Buddha said). No dharanis (mystical incantations) are found within the text. The text extensively uses logical reasoning to explain the nature of existence, the aggregates, and the path to liberation. For example, the detailed breakdown of the body's formation and decay serves as a philosophical argument for impermanence and suffering. The text employs persuasive language, vivid imagery, and numerous analogies to emphasize its teachings and evoke understanding and conviction in the reader. This includes graphic descriptions of the body's impurity, illness, and death. Chapter 5 explicitly describes how actions lead to specific rebirths in different realms (heaven, human, animal, hungry ghost, hell), directly addressing the concept of karmic retribution. The text does not mention any specific historical individuals by name within its narrative. The text mentions ",0,False,,,False,,False,False,False,False,[],[],[],[],,
人本欲生經,T 14,sutra,Āgama,False,,,True,Buddha,False,True,True,False,"['Buddha', 'Ananda']","['梵天', '明聲天', '遍淨天', '空慧天', '識慧天', '不用從受慧天', '不思想天', '無有思想亦有思想天']",['Koliya kingdom'],[],"This text is a sūtra (經) that expounds on the twelve links of dependent origination (十二因緣), aggregates (五陰), and various meditative attainments, including the seven stations of consciousness (七識止處) and the eight liberations (八解脫處). This content is characteristic of early Buddhist teachings found in the Āgama (阿含) literature, hence its classification as such and not Mahāyāna. The text is structured as a detailed dialogue between the Buddha and Ananda, with the Buddha systematically deconstructing concepts of self and suffering through a series of logical inquiries and rhetorical questions, which demonstrates philosophical argumentation and rhetoric. While various 'deva' realms (天) are mentioned as stages of meditative attainment, they are not presented as deities for worship in a devotional sense.",
阿毘曇五法經,T 1557,sutra,Abhidharma,False,,Abhidharma,False,,False,False,False,True,[],[],[],[],"The title ""阿毘曇五法行經"" (Abhidharma Five Practices Sūtra) explicitly indicates its Taishō genre as Abhidharma, which is confirmed by the highly systematic and analytical nature of the text. It meticulously defines and categorizes Buddhist concepts such as the Four Noble Truths (苦法, 習法, 盡法, 道法), the Five Aggregates/Practices (五法行: 色, 意, 所念, 別離意行, 無為), various mental factors, defilements (結, 使), and types of wisdom (黠). The text is an exposition of doctrine, not a narrative or a commentary on another text. It does not contain Mahāyāna specific doctrines, dhāraṇīs, or a sustained dialogue. It explicitly mentions karmic retribution with phrases like ""作善上天。作惡入惡"" (doing good leads to heaven, doing evil leads to evil paths).",
十報經,T 13,sutra,Āgama,False,,,True,Śāriputra,False,False,False,False,"['Śāriputra', 'Buddha']","['Brahma', 'Devas']","['Jetavana', 'Śrāvastī']",[],"The text is an enumeration of Buddhist doctrines and practices, structured as 'one dharma, two dharmas, ..., ten dharmas'. It begins with Śāriputra addressing the bhikṣus, making it primarily a dialogue. Its title '長阿含十報法經' explicitly identifies it as belonging to the Dirgha Āgama (長阿含) collection. The content focuses on fundamental Buddhist teachings without incorporating distinct Mahāyāna concepts like emptiness (śūnyatā) in its Mahāyāna sense, the bodhisattva path, or Trikāya doctrine. It is didactic and enumerative rather than engaging in philosophical argumentation or elaborate rhetoric. While karma and retribution are mentioned as concepts understood by the Buddha, there are no specific stories illustrating karmic retribution. No dhāraṇīs, parables, or miracle tales are present.",
普法義經,T 98,sutra,Āgama,False,,,False,Śāriputra,False,True,True,True,"['Śāriputra', 'Buddha']",[],"['Jetavana', 'Śrāvastī']",[],"The text is titled 'Sūtra Spoken by the Buddha on Universal Dharma Meanings' and begins with 'Thus have I heard', indicating it is a sūtra. The content, delivered by Śāriputra to bhikkhus, focuses on practical ethical conduct, mental cultivation, the development of wisdom (prajñā), and the cessation of suffering to attain the unconditioned (無為), which aligns with early Buddhist teachings and the path of an Arhat. There are no distinct Mahāyāna doctrines such as the Bodhisattva path, extensive emptiness teachings, or elaborate cosmological elements. The text contains structured lists of practices, obstacles, and insights (e.g., 'twelve assemblies', 'twenty items to explain', 'sixteen practices to hear the Dharma', 'ten thoughts', 'fourteen evil dharmas', 'twenty things that hinder the path', 'twenty things that quicken the mind') which constitutes philosophical argumentation regarding the Buddhist path and significant rhetoric for instruction. Karmic retribution is explicitly mentioned: 'Each obtains from their actions, each from the root of their actions, each receives suffering from their actions, each performs good and evil, and receives according to their actions'. The main discourse is a monologue by Śāriputra.",
漏分布經,T 57,sutra,Āgama,False,,,True,Buddha,False,True,True,True,"['Buddha', 'An Shigao']",[],['Kuru country'],['Madhyama Āgama'],"The text is a Sūtra from the Āgama collection, specifically referencing the Madhyama Āgama. It is not Mahāyāna. The text is presented as a discourse by the Buddha to bhikkhus, with their occasional response, making it a dialog. It systematically analyzes concepts such as 'leaks' (漏), 'pain' (痛), 'thoughts' (思想), 'desire' (愛欲), 'actions' (行), and 'suffering' (苦), detailing their nature, origin, consequences, distribution, cessation, and the path to their end (the Eightfold Path). This structured analysis constitutes philosophical argumentation. The highly repetitive phrasing, particularly for the five aspects of each concept (e.g., ""當知X，亦當知X從本有，亦當知從X受殃，亦當知X分布，亦當知X盡，亦當知受何行令X畢""), serves as a rhetorical device for emphasis and memorization. The text explicitly discusses the karmic consequences of actions, leading to good or bad rebirths, indicating karmic retribution.",
