CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,error,correction
四十二章經,T 784,1394,False,False,False,False,0,0,1,0,0,1,0,,
陰持入經,T 603,14812,False,False,False,False,0,0,10,0,0,0,0,,
大道地經,T 607,11523,False,False,False,False,0,3,8,1,1,0,0,"Got a non-integer output from the model for 也: The character ""也"" (U+4E5F) is not found as a final particle at the end of any declarative sentences in the provided text. The text frequently uses ""亦"" (yì) meaning ""also"" or ""too"", and ""耶"" (yé) as a question particle, but not ""也"" (yě) for declarative sentence endings.

0
", Should be 0
人本欲生經,T 14,8986,False,True,False,False,2,0,2,0,0,1,0,,
阿毘曇五法經,T 1557,6048,False,False,False,False,0,0,8,0,0,0,0,,
十報經,T 13,15109,False,True,False,False,0,4,4,0,4,0,0,,
普法義經,T 98,4456,False,True,False,False,0,1,2,1,1,0,1,,
漏分布經,T 57,3815,False,True,False,False,0,0,1,0,0,0,0,,
四諦經,T 32,4886,False,True,False,False,0,0,1,1,0,0,1,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of a declarative sentence only once in the given text.

This instance occurs in the commentary section at the very end of the document:
`[0816c28] 持宿命觀(《大安般》云「信本因緣」，知從宿命有，名直見。)(《義決》云「知前事」，如後事是也)。`

Within the quoted text `「知前事」，如後事是也`, the phrase `如後事是也` is a declarative sentence, and ""也"" functions as a final particle.

All other occurrences of ""也"" (mostly as part of ""亦"" or ""也"" within a phrase not at the end of a sentence) or ""爾"" (which looks similar but is a different character) do not meet the criteria.

1
",Should be 1
七處三觀經,T 150A,14703,False,True,False,False,0,2,5,1,1,0,1,,
九橫經,T 150B,723,False,False,False,False,0,0,0,0,0,0,0,,
八正道經,T 112,967,False,True,False,False,0,0,0,0,0,0,0,,
五十校計經,T 397 (13),14434,False,False,False,False,2,1,61,1,0,2,0,,
大安般經,T 602,20832,False,False,False,False,1,1,16,289,1,1,155,,
五陰喻經,T 105,1084,False,True,False,False,0,0,0,0,0,0,0,,
轉法輪經,T 109,982,False,True,False,False,0,0,0,3,0,0,3,,
流攝經,T 31,2419,False,True,False,False,0,0,1,0,0,0,0,,
是法非法經,T 48,1878,False,True,False,False,0,0,0,0,0,0,0,,
法受塵經,T 792,540,False,True,False,False,0,0,2,2,0,0,2,,
本相猗致經,T 36,1215,False,True,False,False,0,0,0,0,0,0,0,,
阿鋡口解,T 1508,4509,False,False,False,False,0,0,8,0,0,4,0,,
禪行法想經,T 605,487,False,True,False,False,0,0,0,2,0,0,2,,
