taisho_no,total_length,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000,century,attribution_analysis
T 603,14812,0.0,0.0,0.0,0.0,0.067512827437213069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 607,11523,0.0,0.086782955827475486,0.0,0.086782955827475486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 14,8986,0.22256843979523705,0.0,0.11128421989761852,0.0,0.11128421989761852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 13,15109,0.0,0.19855715136673507,0.0,0.0,0.066185717122245011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 98,4456,0.0,0.2244165170556553,0.0,0.2244165170556553,0.2244165170556553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 57,3815,0.0,0.0,0.0,0.0,8.91218872870249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 32,4886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 150A,14888,0.0,0.13433637829124129,1.1418592154755509,0.13433637829124129,0.67168189145620627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 112,967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 397,766814,0.80723617461340036,0.14997117945160104,0.063900763418508269,0.22300062335846763,0.5581536070024804,0.050859791292282096,0.0,0.0,0.050859791292282096,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 31,2419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 48,1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 792,540,0.0,0.0,0.0,3.7037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 36,1215,0.0,0.0,0.0,0.0,13.168724279835391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 1508,4509,0.0,0.0,0.88711465956974933,0.0,4.4355732978487472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 605,487,0.0,0.0,0.0,4.1067761806981524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,An Shigao
T 224,101898,0.49068676519656912,0.23552964729435319,0.40236314746118668,0.88323617735382431,0.70658894188305954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Lokakṣema
