CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,wei4_count,wei4_grammar_count,bei_count,bei_grammar_count,hezhe_count,hedengren_count,cun_count,tian_count,sixiang_count,di_count,di_sense_count,shigu_count,shigu_sense_count,yiqie_count,yiqie_sense_count,error,notes
四十二章經,T 784,1394,False,False,False,False,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
陰持入經,T 603,14812,False,False,False,False,0,0,10,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,
大道地經,T 607,11523,False,False,False,False,0,3,8,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
人本欲生經,T 14,8986,False,True,False,False,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿毘曇五法經,T 1557,6048,False,False,False,False,0,0,8,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
十報經,T 13,15109,False,True,False,False,0,4,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
普法義經,T 98,4456,False,True,False,False,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
漏分布經,T 57,3815,False,True,False,False,0,0,1,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,
四諦經,T 32,4886,False,True,False,False,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
七處三觀經,T 150A,14703,False,True,False,False,0,2,5,1,2,0,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
九橫經,T 150B,723,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
八正道經,T 112,967,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
五十校計經,T 397 (13),14434,False,False,False,False,2,1,61,1,0,2,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
大安般經,T 602,20832,False,False,False,False,1,1,16,289,1,4,287,178,177,0,0,0,0,0,0,0,2,0,0,0,0,0,,
五陰喻經,T 105,1084,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
轉法輪經,T 109,982,False,True,False,False,0,0,0,3,0,0,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
流攝經,T 31,2419,False,True,False,False,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
是法非法經,T 48,1878,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
法受塵經,T 792,540,False,True,False,False,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
本相猗致經,T 36,1215,False,True,False,False,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,
