Prompt,Type,Model,Input,Result,Result ok?,Problems / Notes
Summarize the attached text in English in 3 to 4 sentences. Don't use the title or the name of the translator of the text in the summary.,Summarization,gemini-2.0-flash-001,T 65,Summaries table,Y,Consistent with the FGDB entry summary.
Which of the terms in the attached text are transliterations from Sanskrit?,Sanskrit Transliteration Identification,gemini-2.5-flash-preview-05-20,T 1331 (1),,Y,"A long list of terms, many with Sanskrit equivalents"
"According to the Li Dai San Bao Ji 歷代三寶紀 (uploaded file), who translated the text {name_of_text} and when was it translated? Give fascicle number.",Attribution,gemini-2.0-flash-001,"T 2024, 大比丘威儀經 also known as 大比丘三千威儀",Attribution table,Y,It gave the wrong answer several times. It did not include the fascicle number.
,,gemini-2.0-flash-001,觀無量壽經,Attribution table,Y,"It checked alternate titles, even though I did not give any. It gave the wrong name of the file."
,,gemini-2.0-flash-001,"採華違王上佛授記妙華經, also known as 採花違王上佛授決號妙花經","From the provided text, the text 採華違王上佛授記妙華經 (also known as 採花違王上佛授決號妙花經 and 採花違王上佛授決經) is mentioned in the following line:

[0040a08] (丁酉) 安帝 (德宗改隆安元) 　四　　　二　　　北涼 (沮渠氏字蒙遜立稱神璽元都姑臧郡) (乙未) 天監元 (丁未) 起(符崇立為乾歸所滅四十四年)

[0054b21] 藥師瑠璃光經一卷 ( - ) (丁未) 龍王結願五龍神呪經一卷 (28) (甲子) (乙丑) (丙午) 三十一年) (四十六日為漢滅。佛入涅槃至四百四年)

(大唐)戊寅 (武德元) 己卯　庚辰　辛巳　壬午　癸未 甲申　乙酉　丙戌　丁亥　戊子　己丑 庚寅　辛卯　壬辰　癸巳　甲午

and is associated with

沙門康僧會.

This entry occurs under the year 丙午, however given the nature of this text, more information would be needed to determine the exact time of translation.",N,The answer is wrong. The Li Dai San Bao Ji does not attribute a translator to this text.
,,gpt-4.1,"採華違王上佛授記妙華經, also known as 採花違王上佛授決號妙花經","The 採花違王上佛授決號妙花經 (also called 採華違王上佛授記妙華經) was translated by the Tripiṭaka master Zhu Tanwulan (竺曇無蘭) from India during the Eastern Jin (東晉) period. This is explicitly stated as:

東晉天竺三藏竺曇無蘭譯

This text is found in fascicle (juàn) 14 of the Taishō Tripiṭaka, entry number 510 (大正藏第 14 冊 No. 0510). The corresponding Taishō volume starts at Taishō page 778, register b (T14, 0778b).",N,The answer is wrong. The Li Dai San Bao Ji does not attribute a translator to this text.
Is the title {title} a synonym for any other tiles listed in the given text (Kaiyuan Lu)? Which fascicle is it listed in?,,gemini-2.5-pro-preview-06-05,"施色力經, t2154.txt","1. Is the title 施色力經 a synonym for any other titles?
Yes, 施色力經 (Shī Sè Lì Jīng) is listed as a synonym for another title.

The text lists it as an alternate name (一名) for the sutra titled 食施獲五福報經 (Shí Shī Huò Wǔ Fú Bào Jīng). It also provides a third synonym, 福德經 (Fú Dé Jīng).

The full entry, found at line [0509c22], is:

食施獲五福報經一卷 (一名施色力經一名福德經出增一阿含第二十四卷異譯)

Translation of the entry:
Sutra on Receiving Five Fortunes from Food Offerings, 1 fascicle (Also known as: Sutra on Granting Vigor and Strength, also known as: Sutra on Merit and Virtue. This is a different translation of a text from the 24th fascicle of the Ekottarika Āgama).

2. Which fascicle is it listed in?
It is listed in 卷第三 (Fascicle 3) of the Kaiyuan Lu.

The entry appears within the section for the Eastern Jin Dynasty (東晉), specifically under ""新集失譯諸經"" (Newly Collected Sutras with Lost Translators), which are listed at the end of the dynasty's records in that fascicle.",Y,
,,gemini-2.5-flash,"施色力經, t2154.txt","Is the title 施色力經 a synonym for any other titles listed in the given text (Kaiyuan Lu)?
Yes, the text explicitly states that 施色力經 (Shī sè lì jīng) is a synonym for two other titles:

食施獲五福報經 (Shí shī huò wǔ fú bào jīng - Sutra of Obtaining Five Blessings from Giving Food) - The entry states: 食施獲五福報經一卷 (一名施色力經一名福德經出增一阿含第二十四卷異譯). This directly translates to ""One卷 of the Sutra of Obtaining Five Blessings from Giving Food (also named the Shī sè lì jīng, also named the Fú dé jīng, a different translation from Exottarāgama Chapter 24).""
福德經 (Fú dé jīng - Sutra of Merit/Blessing) - As seen in the same parenthetical note above, it is also listed as an alternative name.
Which fascicle is it listed in?
It is listed in 開元釋教錄卷第二十 (Kaiyuan Shijiao Lu, Fascicle 20).

You can find the entry on page 0692b23 within the 小乘入藏錄下 (Sutra Catalog of the Lesser Vehicle, Part 2) section.",Y,The answer is right but the model gave additional information that was wrong.
,,gemini-2.0-flash,"施色力經, t2154.txt","Title 施色力經: This title appears in the following sentence on page 339: ""佛為婆羅門說四法經 佛為事火婆羅門說 悟道經 佛為婆羅門說耕田經 (或無田字) 佛為 憍慢婆羅門說偈經 (說四法等三十二經並出雜阿含) 佛為 頻頭婆羅門說像 類經 ....四意止本行經一卷 說人自說人骨不知腐經"". From context it seems that 安世高 did not translate it, because these texts are simply listed as ""出雜阿含""

There is no other title listed within the provided text that is synonymous with this title.

The fascicle: is mentioned as 總括群經錄上 and is mentioned towards the beginning of the text. At the end of the text the book can be identified as 開元釋教錄卷第一. So the specific location is 開元釋教錄卷第一總括群經錄上",N,Entirely wrong
,,gemini-2.5-pro,"河中大聚沫經, t2154.txt","1. Is the title 河中大聚沫經 a synonym for any other titles listed in the given text?
Yes, the title 河中大聚沫經 is explicitly listed with synonyms in the text. It is also related to another title through a shared synonym.

In its own entry, it is listed as a synonym for 水沫所漂經 (Sutra on Being Carried Away by Water Foam) and 聚沫譬經 (Sutra on the Parable of Foam).

[0485c01] 河中大聚沫經一卷 (或云水沫所漂經或云聚沫譬經眾經錄云出雜阿含今以安錄 先集雜含後譯是別譯本非從彼出)

Translation: Hézhōng dà jù mò jīng, one fascicle (also called Shuǐ mò suǒ piāo jīng or Jù mò pì jīng. The Zhongjing Lu states it is from the Miscellaneous Āgama, but as the An Lu collected the Miscellaneous Āgama before this was translated, this is a separate translation and not an excerpt from it.)

Furthermore, by cross-referencing within the text, we find that 水沫所漂經 is also listed as an alternate title for 五陰譬喻經 (Sutra on the Parable of the Five Skandhas).

[0479c20] 五陰譬喻經一卷 (或無譬字一名水沫所漂經出雜阿含第十卷異譯見朱士行漢錄及僧 祐錄)

Translation: Wǔ yīn pìyù jīng, one fascicle (or without the character ""pì,"" another name is Shuǐ mò suǒ piāo jīng, a different translation from the tenth fascicle of the Miscellaneous Āgama...)

Therefore, through this connection, 河中大聚沫經 is synonymous with or directly related to 五陰譬喻經.

2. Which fascicle is it listed in?
The title is listed in Fascicle One (卷第一) of the Kaiyuan釋教錄.

The entry for a 河中大聚沫經 appears under the main section for the Later Han (後漢) dynasty ([0477c09]), specifically within the subsection for sutras with ""lost translators,"" titled [0483c03] 新舊諸失譯經 (Newly and Formerly Lost-in-Translation Sutras). It is further categorized under the list [0485b07] 已下新附此錄 (""From here on are new additions to this catalogue"").",Y,
