CSZJJ,Taisho_No,verse_or_prose,syllables_per_line,vernacular_or_literary,literal_or_fluent,ornate_or_plain_language,terse_or_verbose,idioms_used,factual_or_spiritual,indigenous_chinese,interpolations,interlinear_commentary,oral_transmission,explicit_sentence_subject,plural_zhu,tense,abbreviations,do_not_use1,do_not_use2,notes,error
四十二章經,T 784,prose,4,literary,literal,plain,terse,True,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is written in prose. The 'syllables_per_line' refers to the common length of short clauses, with 4 characters (syllables) being a frequently observed unit, though sentence and clause lengths are highly variable as is typical for prose. The style reflects characteristics of early Chinese Buddhist translations from Indic languages, aiming for directness over ornate elegance. The consistent use of direct address, repetition for emphasis, and formulaic phrases suggests an oral transmission context for the source text, which is faithfully rendered in the translation. The spiritual content is purely Buddhist without apparent indigenous Chinese philosophical interpretations. Tense is indicated through temporal adverbs and context rather than explicit grammatical markers.",
陰持入經,T 603,prose,0,literary,literal,plain,verbose,False,factual,False,False,False,True,implicit,False,unspecified,False,False,False,"The text, translated by An Shigao, exhibits characteristics typical of early Chinese Buddhist translations from Indic languages. It is a systematic enumeration and definition of Buddhist doctrines (e.g., five skandhas, six sense bases, twelve sense fields, dependent origination, thirty-seven factors of awakening, four noble truths, and various defilements and insights). The style is highly repetitive, using formulaic phrases such as 'X 為何等？...是為X' (What are these X? ... these are X). This repetitiveness and directness are strong indicators of a literal translation attempting to convey the structure of the source text. The language is plain and unadorned, focusing on precise classification rather than ornate expression. While individual statements are concise, the exhaustive nature of the enumerations makes the overall presentation verbose. The terminology used is analytical and descriptive, aligning with a factual tone for explaining spiritual concepts. There is no evidence of reinterpretation through indigenous Chinese philosophies or the use of Chinese idioms. Sentence subjects are often implicit. The character 諸 (zhū) is not used as a pluralizer. Tense is generally unspecified, relying on context or aspectual markers like '已' for completed actions.",
大道地經,T 607,mixed,5,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is a mixture of prose and verse-like sections. Many chapter openings and lists (e.g., 'five qualities' chapter) exhibit rhythmic patterns, though syllable counts per line vary, with typical lines often around 5-8 characters. The translation style is generally archaic and reflects Indic syntax, making it less fluid than later translations. It is not strictly vernacular but lacks the polish of high literary Chinese. An Shigao's verbose nature in explaining concepts is evident through extensive descriptions and sometimes repetitive phrasing. The focus is on direct transmission of Buddhist teachings, without significant interpretation through indigenous Chinese concepts or the use of Chinese idioms. There is no interlinear commentary or abbreviations. Signs of oral transmission, such as repetition and a somewhat disjointed flow, are present. Tense is generally unspecified, as is common in classical Chinese. Plurality is indicated by '諸 zhu' in several instances.",
人本欲生經,T 14,prose,0,literary,literal,plain,verbose,False,factual,False,False,False,True,explicit,False,explicit,False,False,False,"The translation style is highly literal, characteristic of An Shigao, often leading to repetitive and somewhat stiff Chinese syntax. The language is plain and direct, lacking ornate embellishment. Its verbose nature is evident in the frequent repetition of phrases, especially in the enumeration of causal chains and the question-and-answer dialogues, which also strongly suggest a text intended for oral transmission and memorization. Tense is frequently indicated by explicit markers such as '已' (past) and '當' (future), even if some sentences remain timeless by context. No instances of '諸' for plural were found in the provided text.",
阿毘曇五法經,T 1557,prose,0,literary,literal,plain,verbose,False,factual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is an early Chinese Buddhist translation by An Shigao, characterized by its literal rendition of Indic originals. Its style is prose, systematic, and highly repetitive, reflecting the Abhidharma genre's analytical nature. The language is plain and direct, focusing on definitions and classifications. It avoids indigenous Chinese philosophical interpretations and traditional Chinese idioms. Tense is largely unspecified, relying on context. Sentence subjects are often implicit. The adverb 諸 (zhu) is used for plural or collective indication (e.g., 'all desires'). Its verbose nature stems from the exhaustive listing and reiteration of concepts, which may also be a characteristic retained from the original Indic oral tradition. No interlinear commentary or overt abbreviations are present.",
十報經,T 13,prose,9,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The translation style of An Shigao is notably literal, often sacrificing fluency in Chinese for adherence to the Indic source structure and vocabulary. This results in direct, sometimes grammatically awkward phrasing from a classical Chinese perspective. The language is plain and repetitive, serving as a systematic enumeration of Buddhist doctrines and practices (the 'ten dharmas' and their sub-divisions). The frequent use of structured lists and repetitive introductory/concluding phrases points strongly to mnemonic devices common in oral transmission traditions. While the content is primarily spiritual, it is presented in a very systematic, almost catalogue-like manner. Subjects are often explicitly stated, a characteristic of early, literal translations from Indic languages, although typical Chinese implicit subjects still appear.",
普法義經,T 98,prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,False,explicit,False,False,False,"The translation style is characteristic of early Chinese Buddhist texts, particularly those by An Shigao, who prioritized fidelity to the Indic source. The text is written in prose with frequent, extensive numbered lists. The language is direct and often preserves the grammatical structure of the original, leading to repetitive phrasing (e.g., '上頭亦善，中央亦善，要亦善') and sometimes less fluid Chinese. This directness contributes to a 'plain' language style, devoid of ornate literary devices. While individual clauses can be short, the pervasive repetition and numerous long enumerations make the overall wording verbose. The usage of 'vernacular' refers to a simplified, direct style that is not highly literary or classically refined, rather than contemporary colloquial speech. There are no identifiable Chinese idioms or interpretations based on indigenous Chinese philosophical concepts. Signs of oral transmission are evident through formulaic repetitions, the direct address '賢者！', and the structure of enumerated points. Tense is indicated explicitly through temporal particles and adverbs like '當' (dang) for future/obligation and '已' (yi) for completed actions. The character '諸' (zhu) is not used in this text to indicate plural forms. The content is clearly spiritual, focusing on Buddhist practices and the path to liberation.",
漏分布經,T 57,prose,0,literary,literal,plain,verbose,False,factual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is prose, characterized by extensive repetition, especially the structure '亦當知...亦當知...' which is typical of early translations from Indic languages, particularly An Shigao's style. This repetition, combined with the often direct, almost word-for-word rendering, can make the Chinese feel somewhat stiff or awkward compared to later, more sinicized translations. The language is very direct and unadorned, focusing on clear enumeration and explanation of Buddhist concepts. The style is highly indicative of oral transmission, with phrases repeated verbatim multiple times throughout the discourse, making it suitable for memorization and recitation. While discussing spiritual topics, the approach is analytical and categorical, defining and classifying phenomena such as 'defilements' (漏) and 'feelings' (痛) in a systematic manner rather than using highly evocative or mystical language. The use of '諸' for pluralization (e.g., '諸比丘') is consistent, and tense is generally unspecified, relying on context or auxiliary verbs like '當' (should/will) for future/imperative.",
四諦經,T 32,prose,0,vernacular,literal,plain,verbose,False,factual,False,False,True,True,explicit,True,unspecified,False,False,False,"The text is a very early translation by An Shigao, characterized by its extreme literalness and often awkward phrasing that closely mirrors the Indic source language's structure. This results in verbose and repetitive sentences, such as the frequent '從更復更，從受復受' (again and again, receiving again and again) patterns which are likely direct translations of Indic repetitions. The language is plain and direct, focusing on systematically explaining the Four Noble Truths. There are clear signs of oral transmission due to formulaic openings ('聞如是', '一時') and extensive repetition, likely aiding memorization and delivery. Subjects are frequently stated, which is less common in classical Chinese but a feature of literal Indic translation. The term '諸' is used to indicate plurals. Tense is largely unspecified, relying on temporal adverbs for context.",
七處三觀經,T 150A,mixed,4,vernacular,literal,plain,verbose,False,factual,False,True,False,True,explicit,True,unspecified,False,False,False,"This text, translated by An Shigao, exhibits characteristics typical of early Chinese Buddhist translations from Indic languages. It employs a mixed style, combining lengthy prose explanations with shorter, gāthā-like verse sections, often marked by '佛從後說絕'. The language is notably literal, resulting in awkward or redundant phrasing in Chinese, and prioritizes direct semantic transfer over fluent or literary Chinese style. This contributes to a plain, rather than ornate, linguistic presentation. Despite the simplicity of individual sentences, the frequent repetition of concepts and exhaustive enumeration of points make the overall exposition verbose. No indigenous Chinese idioms or significant abbreviations are observed. While the content is spiritual, the presentation is systematic and descriptive, leaning towards a factual tone, and generally avoids reinterpreting Buddhist concepts through indigenous Chinese philosophical frameworks. The text frequently uses explicit sentence subjects and the plural marker 諸 (zhu). Tense is largely unspecified, inferred from context. The consistent '聞如是' opening, conversational format, and repetitive structures suggest an origin in oral transmission. The compilation of numerous short suttas under a single title, and the presence of '說絕' summarizing sections, indicate a degree of compilation or interpolation within the text.",
