CSZJJ,taisho_no,subject_wu,subject_wo,subject_ru,past_tense_yi,past_tense_xi,present_tense_jin,future_tense_dang,future_tense_danglai,char_count,is_indiginous,error
四十二章經,T 784,0,2,1,6,1,2,4,0,0,1394,1,
陰持入經,T 603,0,6,0,0,167,0,0,19,0,14812,0,
大道地經,T 607,0,14,0,1,62,0,6,33,0,11523,0,
人本欲生經,T 14,0,2,0,0,52,0,0,43,0,8986,0,
阿毘曇五法經,T 1557,0,4,0,2,31,0,0,6,0,6048,0,
十報經,T 13,0,66,0,3,129,0,2,79,0,15109,0,
普法義經,T 98,0,14,0,0,64,0,0,43,0,4456,0,
漏分布經,T 57,0,0,0,6,13,0,0,119,0,3815,0,
四諦經,T 32,0,3,0,1,30,0,6,9,0,4886,0,
七處三觀經,T 150A,0,24,0,35,66,0,11,30,0,14703,0,
九橫經,T 150B,0,0,0,1,1,0,0,4,0,723,0,
八正道經,T 112,0,1,0,1,2,0,2,2,0,967,0,
五十校計經,T 397 (13),0,82,9,121,4,0,8,120,0,14434,0,
大安般經,T 602,0,13,0,18,61,0,12,112,0,20832,1,
五陰喻經,T 105,0,0,0,2,0,0,0,9,0,1084,0,
轉法輪經,T 109,2,0,0,11,9,1,1,8,0,982,0,
流攝經,T 31,0,10,0,9,28,0,0,7,0,2419,0,
是法非法經,T 48,0,10,0,1,3,0,0,5,0,1878,0,
法受塵經,T 792,2,0,0,2,1,0,0,4,0,540,0,
本相猗致經,T 36,0,0,0,0,17,0,3,0,0,1215,0,
阿鋡口解,T 1508,0,3,0,2,23,0,2,12,0,4509,0,
禪行法想經,T 605,0,1,0,4,1,0,0,0,0,487,0,
般若道行品經,T 224 (1),0,34,0,38,22,0,5,115,0,11577,0,
般若道行品經,T 224 (2),0,43,2,64,25,1,6,64,0,13821,0,
般若道行品經,T 224 (3),0,12,0,41,40,0,19,54,0,10966,0,
般若道行品經,T 224 (4),0,23,1,22,16,0,13,84,0,9874,0,
般若道行品經,T 224 (5),0,22,0,70,4,0,11,40,0,10848,0,
般若道行品經,T 224 (6),0,50,6,17,9,1,6,55,0,8048,0,
般若道行品經,T 224 (7),0,61,0,19,15,0,9,101,0,9414,0,
般若道行品經,T 224 (8),0,44,6,66,7,0,6,68,0,9457,0,
般若道行品經,T 224 (9),0,54,41,65,16,0,17,122,0,10365,0,
般若道行品經,T 224 (10),0,32,44,52,15,0,21,49,0,7528,0,
般舟般三昧經,T 418 (1),1,32,3,69,14,0,14,39,0,9257,0,
般舟般三昧經,T 418 (2),1,34,2,66,17,1,12,124,0,10307,0,
般舟般三昧經,T 418 (3),2,26,3,41,18,3,8,66,0,8691,0,
伅真陀羅經,T 624 (1),3,24,0,125,105,0,22,16,0,13430,0,
伅真陀羅經,T 624 (2),1,7,0,86,32,0,5,47,0,10641,0,
伅真陀羅經,T 624 (3),14,35,1,104,84,0,56,60,0,13760,0,
方等部古品曰遺日說般若經,T 350,1,41,4,27,6,0,4,36,0,9202,0,
阿闍世王經,T 626 (1),12,48,15,91,8,0,25,71,0,15902,0,
阿闍世王經,T 626 (2),8,84,9,198,56,0,42,116,0,17796,0,
問署經,T 458,2,76,6,74,40,0,13,131,0,12630,0,
兜沙經,T 280,0,43,0,48,2,0,3,3,0,3008,0,
阿閦佛國經,T 313 (1),0,83,6,138,15,29,20,27,0,12491,0,
阿閦佛國經,T 313 (2),0,39,3,116,41,11,0,111,0,11293,0,
內藏百品經,T 807,0,3,0,20,2,0,8,14,0,4953,0,
成具光明經,T 630,1,45,11,41,47,1,34,71,0,14312,0,
法鏡經,T 322,8,94,12,37,34,4,11,76,0,13396,0,
中本起經,T 196 (1),56,41,25,33,25,6,60,47,0,15009,0,
中本起經,T 196 (2),48,45,18,41,27,7,40,47,0,14011,0,
法句經,T 210 (1),1,8,0,17,17,2,4,25,0,11933,0,
法句經,T 210 (2),3,27,4,28,43,0,5,30,0,12379,0,
維摩詰經,T 474 (1),16,138,27,128,67,17,9,67,0,16634,0,
維摩詰經,T 474 (2),23,35,22,112,36,5,8,49,0,17041,0,
大般泥洹經,T 6,42,87,51,136,110,13,38,193,0,27175,0,
瑞應本起經,T 185 (1),32,37,21,27,13,2,13,38,0,9344,0,
瑞應本起經,T 185 (2),7,48,11,30,24,4,31,31,0,8875,0,
慧印經,T 632,12,44,0,114,31,0,13,67,0,13638,0,
本業經,T 281,1,4,3,45,9,1,8,177,0,7676,0,
梵摩渝經,T 76,31,3,0,20,5,0,11,11,0,4976,0,
私阿末經,T 532,13,27,1,39,14,0,13,55,0,7081,0,
微密持經,T 1011,1,2,2,16,8,2,3,15,0,3147,0,
阿彌陀經,T 362 (1),0,75,7,243,50,1,18,37,0,17516,0,
阿彌陀經,T 362 (2),0,43,8,103,6,0,24,128,0,14113,0,
月明童子經,T 169,0,1,0,0,3,0,1,9,0,1691,0,
義足經,T 198 (1),3,89,23,20,39,0,30,46,0,12543,0,
義足經,T 198 (2),1,57,5,68,62,0,31,47,0,12974,0,
阿難四事經,T 493,7,2,5,6,0,0,1,20,0,1983,0,
差摩竭經,T 533,0,1,0,4,4,0,1,5,0,1613,0,
七女經,T 556,0,29,6,10,6,1,13,22,0,3795,0,
八師經,T 581,28,1,0,2,0,0,3,6,0,2340,0,
釋摩男經,T 54,0,22,0,15,1,0,2,9,0,2227,0,
孛抄經,T 790,3,66,11,19,15,1,36,57,0,12247,0,
明度經,T 225 (1),22,14,4,30,20,3,2,48,0,9639,0,
明度經,T 225 (2),1,41,0,60,14,2,13,82,0,10373,0,
明度經,T 225 (3),4,30,1,37,14,0,16,50,0,10488,0,
明度經,T 225 (4),1,48,1,41,14,0,9,58,0,12305,0,
明度經,T 225 (5),4,48,0,71,10,2,8,115,0,10976,0,
明度經,T 225 (6),10,52,1,81,11,0,22,48,0,8893,0,
老女人經,T 559,0,4,0,8,1,1,2,4,0,1309,0,
齋經,T 87,0,6,0,3,3,0,3,19,0,2073,0,
四願經,T 735,0,12,2,6,1,0,1,8,0,2711,0,
悔過經,T 1492,0,2,0,30,1,0,6,26,0,2535,0,
了本生死經,T 708,2,31,0,7,5,0,0,9,0,2737,0,
龍施女經,T 557,0,11,4,3,0,0,8,8,0,1350,0,
賴吒和羅經,T 68,0,87,31,19,10,0,12,35,0,6085,0,
六度集經,T 152 (1),122,10,5,28,3,13,24,19,0,9175,0,
六度集經,T 152 (2),84,23,14,20,4,5,41,20,0,8761,0,
六度集經,T 152 (3),64,9,6,31,1,11,10,17,0,9680,0,
六度集經,T 152 (4),102,3,12,32,10,18,38,14,0,12995,0,
六度集經,T 152 (5),155,9,8,37,8,16,34,19,0,13574,0,
六度集經,T 152 (6),93,15,4,35,10,22,27,30,0,12057,0,
六度集經,T 152 (7),48,5,0,31,4,7,14,18,0,8807,0,
六度集經,T 152 (8),85,16,11,57,10,9,24,49,0,13435,0,
放光經,T 221 (1),3,32,1,123,21,0,13,122,0,11470,0,
放光經,T 221 (2),6,35,4,164,27,0,4,115,0,15630,0,
放光經,T 221 (3),4,51,7,58,16,0,3,80,0,13396,0,
放光經,T 221 (4),5,10,3,229,27,0,2,60,0,15052,0,
放光經,T 221 (5),19,54,5,103,7,0,7,65,0,13782,0,
放光經,T 221 (6),6,71,3,145,12,1,8,138,0,14081,0,
放光經,T 221 (7),0,39,6,169,29,0,18,86,0,15365,0,
放光經,T 221 (8),0,24,8,117,22,0,19,97,0,12222,0,
放光經,T 221 (9),15,41,5,87,31,0,9,75,0,14591,0,
放光經,T 221 (10),0,29,3,89,52,0,12,86,0,13521,0,
放光經,T 221 (11),4,24,2,101,9,0,15,42,0,12833,0,
放光經,T 221 (12),2,38,7,106,11,0,17,62,0,11804,0,
放光經,T 221 (13),8,61,7,100,26,0,15,118,0,13861,0,
放光經,T 221 (14),8,61,7,100,26,0,15,118,0,13861,0,
放光經,T 221 (15),1,63,16,122,25,0,19,84,0,13758,0,
放光經,T 221 (16),3,23,5,179,42,0,6,149,0,17403,0,
放光經,T 221 (17),2,33,1,173,32,0,0,77,0,15779,0,
放光經,T 221 (18),6,21,18,143,10,0,2,47,0,14336,0,
放光經,T 221 (19),6,40,31,107,29,0,4,42,0,13625,0,
放光經,T 221 (20),3,105,36,149,35,1,25,108,0,13636,0,
光讚經,T 222 (1),16,27,1,155,10,0,8,115,0,16418,0,
光讚經,T 222 (2),3,20,0,135,21,0,4,52,0,17473,0,
光讚經,T 222 (3),3,46,0,70,8,0,3,130,0,10743,0,
光讚經,T 222 (4),15,50,1,46,12,0,3,25,0,12843,0,
光讚經,T 222 (5),12,22,0,89,11,0,0,42,0,12410,0,
光讚經,T 222 (6),1,4,0,172,9,0,0,13,0,14604,0,
光讚經,T 222 (7),6,10,1,130,16,0,9,23,0,10498,0,
光讚經,T 222 (8),10,22,2,64,1,0,10,21,0,9247,0,
光讚經,T 222 (9),18,27,2,99,3,0,5,24,0,11234,0,
光讚經,T 222 (10),4,26,0,118,14,1,5,89,0,11388,0,
賢劫經,T 425 (1),9,25,2,165,23,0,12,28,0,16681,0,
賢劫經,T 425 (2),4,13,1,66,10,1,3,6,0,13500,0,
賢劫經,T 425 (2),0,7,0,51,6,9,0,4,0,15269,0,
賢劫經,T 425 (4),4,7,0,88,5,8,3,4,0,11552,0,
賢劫經,T 425 (5),2,5,0,96,9,1,5,4,0,13381,0,
賢劫經,T 425 (6),1,1,1,52,1,0,3,11,0,12031,0,
賢劫經,T 425 (7),0,1,0,13,3,0,3,3,0,13997,0,
賢劫經,T 425 (8),6,7,2,50,7,3,13,25,0,12224,0,
正法華經,T 263 (1),44,24,0,207,28,2,46,68,0,17486,0,
正法華經,T 263 (2),22,31,3,115,17,2,32,61,0,11497,0,
正法華經,T 263 (3),34,48,6,116,14,1,36,81,0,14139,0,
正法華經,T 263 (4),14,14,3,117,14,3,26,35,0,10228,0,
正法華經,T 263 (5),13,17,2,66,12,3,20,57,0,7976,0,
正法華經,T 263 (6),35,37,5,130,16,2,31,87,0,13595,0,
正法華經,T 263 (7),30,23,2,138,23,2,30,47,0,13319,0,
正法華經,T 263 (8),2,3,0,113,15,0,6,30,0,11724,0,
正法華經,T 263 (9),16,19,3,135,16,1,21,35,0,10823,0,
正法華經,T 263 (10),6,28,8,86,15,1,10,38,0,10005,0,
普耀經,T 186 (1),3,10,3,137,10,2,9,11,0,9610,0,
普耀經,T 186 (2),4,19,0,89,6,0,20,32,0,12390,0,
普耀經,T 186 (3),23,32,5,111,11,1,22,44,0,12775,0,
普耀經,T 186 (4),22,32,4,60,24,1,23,33,0,8945,0,
普耀經,T 186 (5),17,27,4,119,18,0,45,41,0,14176,0,
普耀經,T 186 (6),19,23,8,53,9,2,37,19,0,8966,0,
普耀經,T 186 (7),28,26,4,74,24,1,32,36,0,9130,0,
普耀經,T 186 (8),29,37,13,68,24,1,40,28,0,12024,0,
大哀經,T 398 (1),8,3,2,137,28,1,9,11,0,8635,0,
大哀經,T 398 (2),5,5,1,101,5,0,5,15,0,11289,0,
大哀經,T 398 (3),24,13,0,82,20,0,2,50,0,11089,0,
大哀經,T 398 (4),0,1,0,45,1,0,2,24,0,7044,0,
大哀經,T 398 (5),1,9,1,79,18,0,7,7,0,7951,0,
大哀經,T 398 (6),2,5,2,131,12,0,6,28,0,8916,0,
大哀經,T 398 (7),0,8,1,181,13,0,1,6,0,7952,0,
大哀經,T 398 (8),15,15,3,93,19,0,10,33,0,9984,0,
度世品經,T 292 (1),1,0,0,232,9,2,9,25,0,10628,0,
度世品經,T 292 (2),16,6,0,258,10,1,9,51,0,12878,0,
度世品經,T 292 (3),12,3,0,219,4,1,5,15,0,11408,0,
度世品經,T 292 (4),3,2,0,222,3,1,0,19,0,11789,0,
度世品經,T 292 (5),5,12,0,204,14,1,2,19,0,12817,0,
