CSZJJ,Taisho No.,prefix_a,prefix_lao,suffix_er,reduplicated_nouns,pronoun_qu,personal_pronoun_ta,personal_pronoun_yi,verb_dao,pronoun_zhe,notes,error
四十二章經,T 784,False,False,True,True,False,False,False,False,False,"The text uses '小兒' (xiǎo'ér), indicating the use of the suffix ér. The text uses '處處' (chùchù) and '一一' (yīyī), which are reduplicated forms common in vernacular Chinese, functioning adverbially. The prefix 阿 (ā) is present in '阿羅漢' (Āluóhàn) and '阿那含' (Ānàhán), but these are transliterations of foreign words, not a native Chinese prefix. The prefix 老 (lǎo) is not used; '老者' (lǎo zhě) is an adjective plus a nominalizer. The second-person pronoun 渠 (qú), personal pronoun 他 (tā), and personal pronoun 伊 (yī) are not found. The verb 'to say' is consistently rendered as 曰 (yuē) or 言 (yán), not 道 (dào). The pronoun 這 (zhè) is not found.",
陰持入經,T 603,False,False,False,False,False,False,False,False,False,,
大道地經,T 607,False,False,False,True,False,False,False,False,False,"The text exhibits very few vernacular elements. The demonstrative pronoun '是' is used instead of '這'. The verb '說' (to speak) is consistently used instead of '道' in its verbal sense. Personal pronouns '他' and '伊' and the pronoun '渠' are absent. The prefixes '阿' and '老' are not used in a vernacular prefixial function. However, the text does contain reduplicated nouns such as ""舍舍"" (house by house), which is a vernacular feature. This translation style is characteristic of early Chinese Buddhist translations, which tend to be more literal and less influenced by contemporary spoken Chinese.",
人本欲生經,T 14,False,False,False,False,False,False,False,False,False,"The text, an early Chinese Buddhist translation by An Shigao, exhibits a style characteristic of its period, which tends to be more literal and less vernacular than later translations. The prefix '阿' (ā) is only found as part of the transliterated name '阿難' (Ānán) and not as a prefix to a common noun. The prefix '老' (lǎo) is only found as part of the compound term '老死' (lǎo sǐ, old age and death) and not as a prefix to other nouns. The suffix '兒' (ér) is not used as a diminutive suffix; '男兒' (nán'ér) and '女兒' (nǚ'ér) are standard terms. There are no clear instances of reduplicated nouns (e.g., 人人, 家家); '各各種' (gè gè zhǒng) uses a reduplicated determiner '各各' with a noun '種', and '如是如是' (rú shì rú shì) is a reduplicated pronoun/adverbial phrase. The pronoun '渠' (qú) is absent. The personal pronoun '他' (tā) is absent. The personal pronoun '伊' (yī) is absent. The verb 'to say' is rendered using '說' (shuō), '言' (yán), '告' (gào), and '白' (bái), but not '道' (dào). The demonstrative pronoun '這' (zhè) is absent, with '是' (shì) being used instead (e.g., '是時', '如是'). Overall, the text lacks the specified vernacular elements.",
阿毘曇五法經,T 1557,False,False,False,False,False,False,False,False,False,,
十報經,T 13,False,False,False,False,False,False,False,False,False,,
普法義經,T 98,False,False,False,False,False,True,False,False,False,"The text uses the personal pronoun 他 (tā) in the compound 他人 (tārén). However, it does not employ the prefix 阿 (ā) or 老 (lǎo), nor the suffix 兒 (ér). There are no reduplicated nouns. The pronoun 渠 (qú) is absent, and 這 (zhè) is not used for 'this', with 是 (shì) serving this function. The verb 道 (dào) appears but exclusively in the sense of 'way', 'path', or 'doctrine', not as 'to say'. This suggests a text with some vernacular elements (like 他), but largely adhering to an earlier or more formal style, lacking many common vernacular markers.",
漏分布經,T 57,False,False,False,False,False,False,False,False,False,"The text, an early translation by An Shigao, exhibits a highly formal and repetitive style typical of early Chinese Buddhist translations. It generally lacks the vernacular elements requested. '阿' is found only in the transliterated term '阿含' (Āgama), not as a vernacular prefix. '老' appears as '老為苦' (old age as suffering), not as a prefix. No suffix '兒' was found. Reduplicated nouns are absent; while the text is repetitive, it does not use common noun reduplications like '處處'. The pronouns '渠', '他', and '伊' are not present. The verb 'to say' is rendered with '告' or '說', not '道'; '道' appears only as a noun in '道行' (path/way practice). The pronoun '這' is not used.",
四諦經,T 32,False,False,False,True,False,False,False,False,False,"The text does not use the prefix 阿 (ā) other than in transliterations (e.g., 阿息國, 安世高). It does not use the prefix 老 (lǎo) in a vernacular sense. The suffix 兒 (ér) is not found. Reduplicated nouns are present, such as 念念 (niànniàn, thought by thought), 處處 (chùchù, everywhere), and 彼彼 (bǐbǐ, each/every). The second-person pronoun 渠 (qú) is not used. The personal pronoun 他 (tā) is absent; '他' appears only as 'other' (無有他). The personal pronoun 伊 (yī) is not used. The verb 道 (dào) meaning 'to say' is not found; '說' and '曰' are used instead, while '道' refers to the 'path' or 'truth'. The demonstrative pronoun 這 (zhè) is not used; '是' (shì) is used for 'this'.",
七處三觀經,T 150A,False,False,False,False,False,False,False,False,False,,
