CSZJJ,Taisho No.,terminology,error,notes
放光經,T 221 (1),"放光般若經,三藏,摩訶般若波羅蜜,聞如是,佛,羅閱祇耆闍崛山,比丘,阿羅漢,諸漏,無垢,大龍,正解,比丘尼,優婆塞,優婆夷,菩薩,摩訶薩,陀隣尼,空行三昧,無相,無願,藏,等忍,無罣礙陀隣尼門,五通,深法忍,精進力,魔行,死地,阿僧祇劫,如幻,如夢,如響,如光,如影,如化,如水中泡,如鏡中像,如熱時炎,如水中月,眾生,微妙慧,持忍,佛國,說法,諸見,三昧,補處,世尊,高座,結跏趺坐,定意三昧,三昧王,天眼,千輻相輪光明,肉髻,三千大千國土,恒邊沙,無上正真道意,如來,無所著,等正覺,法,廣長舌,千葉寶華,六度無極,師子座三昧,師子遊戲,神足,六反震動,地獄,餓鬼,蠕動之類,八難處,天上,人中,第六天,識宿命,稽首,三惡趣,離對苦,十善,淳修梵事,澹然快樂,第三禪,智,師子床,須彌,首陀會天,梵天,第六天王,釋天,四王天,幢幡,繒綵華蓋,閻浮提,沙訶國土,釋迦文佛,般若波羅蜜,普明,總持,律行,忍界,比丘僧,諸天魔梵,諸龍鬼神,沙門,婆羅門,新發意者,舍利弗,檀波羅蜜,尸波羅蜜,羼提波羅蜜,惟逮波羅蜜,禪波羅蜜,四意止,四意斷,四神足,五根,五力,七覺意,賢聖八品道,空三昧,無相三昧,無願三昧,四禪,四等,四無形三昧,八解禪,九次第禪,九相,新死相,筋纏束薪相,青瘀相,膿相,血相,食不消相,骨節分離相,久骨相,燒焦可惡相,念佛,志法,志比丘僧,施戒,安般守意,無常,苦,空,無我人想,無所樂想,無生滅想,無道想,無盡想,無所起想,善想,法想,覺意三昧,無畏三昧,有想有畏,無想無畏,亦無想亦無畏,八患,十二衰,佛十力,十八法,四無所畏,四無礙慧,大慈大悲,薩云若,生死習緒,聲聞,辟支佛,阿惟越致地,六通,陀隣尼三昧門,眾智門,智慧,解脫,見解脫慧,大士三十二相,八十種好,菩薩種姓,鳩摩羅浮,供養諸佛,六波羅蜜,正至佛,佛剎,內空,外空,大空,最空,空空,有為空,無為空,至竟空,無限空,所有空,自性空,一切諸法空,無所猗空,無所有空,法如,法性,真際,劫盡燒時,須彌大山,泥洹,尊者家,梵志大姓家,迦羅越家,空無形禪,須陀洹,斯陀含,阿那含,惡意,恚恨意,亂意,惡智,五眼,肉眼,天眼,智眼,法眼,佛眼,天耳,阿耨多羅三耶三菩,十二部經,三寶音,罪地三惡趣,人身,沙門四道,無餘泥洹,道事俗事,輪跡,阿迦膩吒天,佛樹,金剛,出家,轉法輪,遠塵離垢,法眼淨,漏盡意解,阿惟三佛,梵行,色欲,漚惒拘舍羅,五欲,五陰,色陰,痛陰,想陰,行陰,識陰,吾我,道法,淨佛國土,福田,五戒,八齋,四等意,四無形定,三十七品法,十力,色與空合,痛想行識與空合,眼耳鼻舌身意與空合,色聲香味細滑識法與空合,眼色識,耳聲識,鼻香識,舌味識,身細滑識,法性識,苦習盡道四諦之法,十二因緣,癡,所作行,識,名色,六入,栽,痛,愛,受,有,生,死,有為法,無為法,本性,七空合,五陰合,去來今三世,六情,十八性,已受莂,道場,生眾生相,滅眾生相,空眾生相,別眾生行,第一空行,無嫉慢意",,
放光經,T 221 (2),"放光般若經, 摩訶般若波羅蜜, 三藏, 五眼品, 舍利弗, 菩薩摩訶薩, 般若波羅蜜, 佛, 兜率天上, 佛國, 人道, 陀隣尼, 三昧門, 眾智門, 智慧, 深法要, 阿惟越致, 諸根闇鈍, 世尊, 漚惒拘舍羅, 四禪, 六波羅蜜, 禪福, 長壽天, 世間, 四等, 四無形定, 三十七品, 大慈大悲, 拔陀劫, 覺者, 梵志家, 迦羅越家, 四王天, 忉利天, 第六天, 諸天, 淨佛國土, 梵天, 轉法輪, 一生補處菩薩, 空, 無相, 無願, 具足三昧, 阿惟三佛, 六神通, 欲界, 形界, 無形界, 佛剎, 聲聞, 辟支佛, 三尊, 功德, 佛十八法, 三界, 菩薩位, 阿惟越致地, 發道意, 般泥洹, 劫, 解脫禪定, 無思想慧禪, 蒱佉闍三昧, 小道者, 道慧, 忍, 阿僧祇劫, 三惡趣, 惠施, 佛形像, 一乘, 三十二相, 三乘法, 清淨身口意, 檀波羅蜜, 尸波羅蜜, 遮迦越羅, 十善, 照明法化, 嫉恚, 邪見, 兩舌, 惡口, 妄言, 綺語, 殺盜婬, 懈慢意, 惡智, 惡行, 惡言, 惡念, 不猗, 佛道, 一切法, 五陰, 六情, 色聲香味細滑法, 十八性, 佛十種力, 四無所畏, 阿耨多羅三耶三菩, 薩云若, 惡趣, 貧賤, 阿須倫, 諸慧, 恒沙諸佛世尊, 法教, 佛德, 佛想, 菩薩想, 聲聞想, 辟支佛想, 我想, 人想, 諸佛國想, 慧行菩薩, 貢高, 肉眼, 天眼, 慧眼, 法眼, 佛眼, 閻浮提, 四天下, 千世界, 二千世界, 三千世界, 阿迦膩吒天, 十方恒沙世界, 眾生生死善惡之事, 有為法, 無為法, 有道法俗法, 慧眼菩薩, 法眼淨, 堅信堅住於法, 無願之脫立, 五根, 不中止定, 解脫慧, 三礙, 有身礙, 狐疑礙, 邪信礙, 須陀洹, 道得念, 婬怒癡薄, 斯陀含, 阿那含, 消五愛, 色愛, 無色愛, 癡愛, 恨戾愛, 亂志愛, 羅漢, 空菩薩, 空脫, 不中止禪, 羅漢道, 無相解脫, 五力, 生法即是滅法, 信根, 精進辦根, 漚惒拘舍羅根, 三耶三佛, 法眼菩薩, 佛受決, 神通者, 佛剎淨, 成佛, 僧, 勤苦行, 道場, 魔, 佛眼淨, 金剛三昧, 四等心, 十八不共, 最正覺眼, 五眼之母, 度五神通, 神足, 動天地, 變身無數更合為一, 徹視無礙, 履水蹈虛, 身出水火, 手捫摸日月, 身至梵天, 有無之中了無所得, 有空, 無空, 天耳慧神通之證, 知他人心中所念, 宿命之證, 眾生生死所趣善惡之道, 身行惡、口言惡、意念惡, 謗毀聖賢, 信邪倒見, 邪見因緣, 地獄, 正見信行, 天上, 五道, 漏盡之證, 薩云若迹, 罪福, 空無所起, 羼波羅蜜, 瞋恚, 惟逮波羅蜜, 懈怠, 禪波羅蜜, 定志意, 愚癡, 空來往, 不疑不犯, 不瞋不忍, 不進不怠, 不定不亂, 不智不愚, 不施與亦不有貪, 不戒不犯, 不進不退, 不忍不恚, 不定不亂, 不慧不癡, 不謗不譽, 不有為不無為, 無所從生法, 授決品, 發等意, 一切諸法等, 諸法等, 惡色, 惡念, 無上正真道意, 比丘, 阿難, 阿閦佛國, 彌勒佛, 沙門, 佛之威神, 四部眾, 沙訶樓陀剎土, 佛國土嚴淨, 莊嚴王如來、無所著、等正覺, 妙度品, 尊者舍利弗, 摩訶目揵連, 須菩提, 摩訶迦葉, 優婆塞, 優婆夷, 最大度, 上度, 妙度, 無上尊度, 辯才之度, 無等度, 法度, 空度, 空無相度, 諸法空度, 有無空度, 具足諸德空度, 功德普具, 無等等之施, 轉無上法輪, 過去當來諸佛世尊, 諸法彼岸, 天、龍、鬼神, 善男子、善女人, 龍神, 帝王, 轉輪聖王, 四大天王, 七寶, 菩薩之事, 調伏眾生, 布施, 安隱眾生, 廣長舌相, 三千大千世界, 舌根, 光明, 瑞應, 沙訶, 釋迦文, 忍界, 幢幡珍寶華蓋, 虛空中化成四柱臺, 剎土, 無所從生法忍, 覺華如來、無所著、等正覺, 行品, 佛威神, 佛弟子, 法事, 學法以法作證, 境界, 名字, 名法, 生滅, 因緣, 合為數, 十二因緣, 如, 權法數, 有常無常, 苦樂, 有我無我, 淨寂, 著斷, 有為性, 無為性, 無想念, 無想法, 超越諸法之相, 意識覺, 不苦不樂, 相好, 慧度, 度神通, 度慧, 內外空, 所有無所有空, 教化眾生, 法數著字, 六衰, 癡, 行、識、名色、六入、栽、覺、愛、受、有、生、死, 夢、響、幻、熱時之炎, 法法不相見, 法性, 恐、畏懼、悔、懈怠, 意識法, 無所得、無所見, 學品, 六情內外者, 吾我想, 三界婬諍, 六衰習, 四食, 四淵流, 四結, 四顛倒, 十惡, 學意三昧, 四空定, 師子遊步、師子奮迅三昧, 首楞嚴三昧, 海寶三昧, 月幢三昧, 諸法普至三昧, 觀印三昧, 真法性三昧, 作無垢幢三昧, 諸法所入門三昧, 三昧王三昧, 王印三昧, 力淨三昧, 諸法所入真辯才三昧, 諸法言所入照十方三昧, 諸法陀隣尼門印三昧, 不妄諸法三昧, 諸法都聚印三昧, 虛空所止三昧, 淨三昧, 處三昧, 不起神通三昧, 作上幢三昧, 罪處, 菩薩頂諍, 法愛, 空寂, 無常, 苦, 非我, 無為證, 成道, 著, 斷, 菩薩行, 菩薩學, 菩薩順道, 內空, 外空, 空空, 大空, 最第一空, 有為空, 無為空, 無邊際空, 作空, 性空, 自空, 諸法空, 無空, 有空, 無有空, 意性廣大而清淨, 婬欲癡, 塵勞, 六十二見, 聲聞辟支佛意, 清淨, 無意意, 無作無念, 法化生, 法施, 空寂行, 菩薩地, 三乘之教, 本無品, 諸法終始, 吾我人壽命眾生, 佛志、法志、僧志、戒志、施志、天志、安般志、死志, 夢響光影幻炎化, 寂靜, 不生不滅, 不著不斷, 真際, 善惡之法, 有漏無漏, 當來過去今現在, 如來、無所著、等正覺, 弟子菩薩眾, 字法, 戒、三昧、智慧、解脫、見解脫慧, 須陀洹、斯陀含、阿那含、阿羅漢、辟支佛, 菩薩道, 佛法, 有常無常、苦樂有我, 所有無所有, 無所有, 不惋不悔、不懈不怠、不恐不怖, 無所住, 六識, 地水火風空識, 神通, 無我, 法及法性, 吾我想, 著於五陰, 想識, 不受色痛想行識, 性空, 無所受三昧, 相行, 垢, 五陰相, 三昧相, 薩云若慧, 相信解受持觀其所應, 相、無相, 度空性之慧, 見解空相之法, 諸法等信以為證, 無所受, 通達來往於彼此岸, 中道般泥洹, 法非法、亦不非法, 性空之法, 意不惓不厭、不恐不怖, 色之狀貌離色, 痛想行識狀貌離痛想行識, 檀波羅蜜狀貌離檀波羅蜜, 無所有之狀貌, 非物之類, 五陰離五陰相, 真際亦離其相, 諸法無所出亦無所生, 五陰空, 身意相淨, 貪意, 化生, 普淨佛國土",,
放光經,T 221 (3),"放光般若經,三藏,摩訶,般若波羅蜜,空行,須菩提,佛,菩薩摩訶薩,菩薩,摩訶薩,漚惒拘舍羅,五陰,常,無常,苦,我所,寂靜,三十七品,佛十八法,阿耨多羅三耶三菩,舍利弗,色,生老病死苦,眼耳鼻舌身意,六情,十八性,聲聞,辟支佛,地證,痛,想,行,識,苦樂,空,無相,無願,六波羅蜜,三昧,首楞嚴,寶印三昧,師子遊步三昧,月三昧,作月幢三昧,諸法印三昧,照頂三昧,真法性三昧,必造幢三昧,金剛三昧,諸法所入印三昧,三昧王所入三昧,王印三昧,力進三昧,寶器三昧,必入辯才三昧,授決,世尊,空寂,吾我,眾生,十二衰,本淨,十二因緣,苦、習、盡、道,欲性,形性,無形性,須陀洹,薩云若慧,一切法,幻人,布施,持戒,精進,忍辱,一心,智慧,色聲香味細滑法,如夢,如響,如影,如熱時炎,如化,大乘,善知識,羅漢,檀波羅蜜,尸波羅蜜,羼提波羅蜜,惟逮波羅蜜,禪波羅蜜,魔,魔波旬,和上,斯陀含,阿那含,阿羅漢,阿惟越致,泥犁,薜荔,泥洹,金剛意,三乘,法性,真際,怛薩阿竭,阿羅訶,三耶三佛,有為,無為,一相,善法,惡法,記法,未記法,俗法,道法,有漏法,無漏法,四大,腐敗想,青瘀想,血想,食不消想,亂想,骨想,半燋想,四禪,四等,四無形禪想,佛想,法想,比丘僧想,戒想,施想,天想,精勤想,安般想,身想,死想,殺、盜、婬、怒、惡口、妄言、綺語、嫉妬、邪見,三解脫門,三根,三三昧,解脫攝意,八解脫門,九次第禪,十八空,佛十力,四無所畏,如,精進行,無餘泥洹,婬怒癡,法樂,虛空際,解脫三昧,妄見,吾我見,有人見,眾生見,斷見,常見,有見無見,五陰見,十八性見,十二衰見,有諦見,十二因緣見,三十七品見,佛十八法見,育養眾生見,淨佛土見,道見,佛見,轉法輪見,薩云若意,漏,邠耨文陀尼子,僧那僧涅,摩訶衍三拔致,發趣大乘,八禪,慈悲喜護,欲界,形界,無形界,不二,神通,佛國,一切智,轉法輪,龍,閱叉,阿須倫,被諸功德之鎧,佛身,三千大千剎土,琉璃,遮迦越王,十善,五眼",,
放光經,T 221 (4),"放光般若經,摩訶般若波羅蜜,摩訶衍,菩薩摩訶薩,大誓,大乘,六波羅蜜,檀,尸,羼,惟逮,禪,般若波羅蜜,薩云若,阿耨多羅三耶三菩,十善,忍地,漚惒拘舍羅,諸禪,內空,外空,內外空,空空,大空,最空,有為空,無為空,至竟空,不可得原空,無作空,性空,諸法空,五陰,十二衰,十八性,有為法,無為法,自相空,受相,想,識,無所得空,無空,有空,有無空,羅漢,辟支佛,諸佛世尊,三界,泥洹,法性,寂如,真際,三昧,首楞嚴三昧,寶印三昧,師子遊戲三昧,月三昧,月幢三昧,在諸法上三昧,照頂三昧,法性畢三昧,必造幢三昧,金剛三昧,法所入印三昧,安住三昧,放光明三昧,勢進三昧,等步三昧,入辯才教授三昧,過量音聲三昧,照處處三昧,總持印三昧,不忘三昧,一切法所聚海三昧,虛空普三昧,金剛部三昧,寶勝三昧,熾炎三昧,無願三昧,審住三昧,選擇三昧,無垢燈三昧,無限光三昧,作光明三昧,普照明三昧,淨要三昧,無垢光三昧,造樂三昧,電明三昧,無盡三昧,上威三昧,畢盡三昧,不動三昧,不別三昧,日燈三昧,月無垢三昧,淨光明三昧,作明三昧,造作三昧,諸慧三昧,住意三昧,現明三昧,安立三昧,寶積三昧,法印三昧,等三昧,棄樂三昧,過法定三昧,散結三昧,解諸法句三昧,等文字三昧,畢字三昧,斷因緣三昧,無態三昧,無行三昧,無窟行三昧,畢陰三昧,主行三昧,不起三昧,度境界三昧,聚諸善三昧,止選三昧,清淨華三昧,主覺三昧,無限辯三昧,無等等三昧,度諸法三昧,決斷三昧,散諸狐疑三昧,無住三昧,一行三昧,眾生所入三昧,一事三昧,厭該眾事三昧,散諸生死勞怨三昧,眾行音所入三昧,脫諸音響字三昧,然炬三昧,淨相三昧,無准三昧,具足眾事三昧,不願苦樂三昧,事不減三昧,持迹三昧,邪正聚三昧,滅恚諍三昧,無恚三昧,明月滿無垢炎三昧,大莊飾三昧,與世間作光明三昧,三昧等,無忿三昧,無倚無窟無樂三昧,最如三昧,身骸三昧,斷口行與空合三昧,虛空本脫無色三昧,四意止,苦惱,癡苦受患,地水火風,三十六物,愛痛苦,災患,覺意法,斷癡惑意,四意斷,四神足,五根,信根,精進根,志根,定根,智慧根,五力,信力,精進力,志力,定力,智慧力,七覺意,法覺意,悅喜覺意,適無以著覺意,賢聖八品道,正見,正念,正言,正行,正業,正習,正志,正定,三三昧,空三昧,無相三昧,諸慧事,苦慧,習慧,盡慧,道慧,消慧,無所起慧,法慧,明慧,各各知他人所念慧,真慧,三根,學士,白衣,須陀洹,斯陀含,阿那含,有覺有觀,無覺有觀,無覺無觀,第一禪,二禪,無思想無思想慧禪,十念,佛念,法念,僧念,戒念,施念,天念,滅念,安般念,身苦念,死亡念,四禪,四等,四無形禪,八惟無禪,九次第禪,佛十種力,神足變化,梵輪,佛漏已盡,四無礙慧,佛十八法,陀隣尼目佉,字門,功德,四諦,十二緣起事,善知識,天耳徹聽,自識宿命,能消諸漏,摩訶僧那僧涅,三拔致,地,三垢,四等心,出家,佛國土,宴坐,少欲,知足,沙門十二法行,三乘之願,地獄,邊沙劫,十二部經,滅恚怒,下賤之處,誹謗道者,大悲,阿僧祇劫,育養眾生,羞恥慚愧,羅漢、辟支佛意,深法忍者,婬妬,六根,十惡,貢高,顛倒,婬怒癡,度彼岸,聲聞意,小意,初發意者,轉於垢濁,幻三昧,神通,諸佛國,天、龍、閱叉、犍陀羅,胞胎成就,剎利,婆羅門,佛樹,三千大千國土,九地,滅淨地,種性地,八地,見地,薄地,滅婬怒癡地,已作地,辟支佛地,菩薩地,佛地,無相,不可思議性,安隱之性,滅盡,色空,痛想行識空,十二因緣空,夢、幻、炎、響、光、影,須陀洹果,斯陀含果,阿那含果,阿羅漢果,辟支佛果,佛果,名相,設法教數,無所生,無所滅,無所著,無所斷,無所有,增減,五眼",,
放光經,T 221 (5),"三藏,摩訶般若波羅蜜,摩訶衍,須菩提,佛,世尊,阿須倫,空,菩薩,摩訶薩,波羅蜜,陀羅尼門,三昧門,首楞嚴三昧,虛空際解脫無所著三昧,內外空,無有空,三十七品,佛十八法,欲界,龍,鬼神,色界,無色界,痛想行識,眼耳鼻舌身意,色聲香味細滑法,十二因緣,法性,如,真際,不可思議,八輩地法,須陀洹法,斯陀含法,阿那含法,阿羅漢法,辟支佛法,阿惟三佛法,佛法,種性,發意,佛坐,金剛慧,薩云若,如來,無所著,等正覺,三十二大士之相,法輪,沙門,婆羅門,魔,梵,泥洹界,般泥洹,無量無央數,阿僧祇,三界,須陀洹道,斯陀含道,阿那含道,阿羅漢道,弟子地,辟支佛地,阿惟三佛地,無常,苦,我,相,願,滅淨,寂,冥,行,無緒,一切諸法,吾我,真際緒,五陰緒,六情,般若波羅蜜,泥洹性,三世,婬怒癡,有為,無為,凡人,緣覺,薩云若慧,十方諸菩薩,十方諸佛,逮,邠耨文陀尼子,聲聞,四意止,四意斷,四神足,五根,五力,七覺意,賢聖八品道,三脫門,四無礙慧,大慈大悲,十種力,四無所畏,十八不共,無所望法常等行,五陰,十二衰,十八性,善法,漏法,苦習盡道法,律,不別不異,一無有二,邊際,底,有無之法,不生,悔,怯,舍利弗,空寂,不真,本際,末際,中際,識性空,教法,假號,真名,夢,幻,炎,響,影,化,不入色,不生色,不住色,非色,一法無二,滅色,觀,道士,檀波羅蜜,禪波羅蜜,不空,不滅,不寂,不二,無有形,一相者則無相,無所從生,凡人凡人法,三應滅,三垢薄,五應滅,滅上五所得,因緣覺,勤苦行,父想,母想,子想,身想,世俗,最第一,五趣,生死,善惡之報,斷,著,六性,身口意行,法師,發遣,無所依,道檀波羅蜜,俗檀波羅蜜,施主,阿耨多羅三耶三菩,無餘泥洹,三礙意,世俗布施,道施,不自見,不見受者,不望其報,菩薩摩訶薩道,空無相無願三脫門,功德力,諸善法功德之母,三乘之法,不疑不懼,大慈大悲之念,譏,來迹,無所覺,三千大千剎土,六反震動,無所從生法忍,無上正真道意",,
放光經,T 221 (6),"放光般若經,摩訶般若波羅蜜,般若波羅蜜,剎土,四天王,天子,釋提桓因,須炎天子,首陀會天,世尊,須菩提,菩薩,菩薩摩訶薩,拘翼,佛威神,菩薩心,阿耨多羅三耶三菩意,生死界,薩云若意,色,無常,苦,空,非身,痛,想,行,識,五陰,六情,六性,淨寂,癡愛,十二因緣,眾苦,三十七品,佛十八法,檀波羅蜜,尸波羅蜜,羼波羅蜜,惟逮波羅蜜,禪波羅蜜,吾我,佛,如來,無所著,等正覺,阿惟三佛,六波羅蜜,一空無有二,滅十二因緣,內外空,有無空,三昧門,陀隣尼門,聲聞乘,辟支佛乘,薩云若,須陀洹,阿羅漢,無餘泥洹,般泥洹,菩薩初地,第十地,阿惟越致地,五通,阿僧祇佛國,眾生,五眼,肉眼,天眼,法眼,慧眼,佛眼,三昧,四無礙慧,四無所畏,佛十種力,四等心,大慈大悲,三十二大士之相,八十種好,八輩事,信,法,斯陀含,阿那含,轉法輪,四神足,恒邊沙劫,三毒,閱叉,文字,化,比丘,比丘尼,優婆塞,優婆夷,無相,無願,無所生,無所滅,寂淨,緣起,三乘,總持,十住道地教,神通,辯,大乘,法雨,阿迦膩吒天,花散佛,摩訶迦旃延,提和竭佛,無上士,道法御,天人師,善男子,善女人,魔,魔天子,四禪,四空定,阿須倫,三寶,漚惒拘舍羅,貢高,施想,惡戒,瞋恚,懈怠,亂意,惡智,貪,諍,生死恩愛,根,力,無黠十二因緣,我見,人見,眾生見,盡見,常見,無垢見,無有見,眾邪見,嫉惡戒見,瞋恚見,樂想,淨想,我想,禪定意,四無形定,三三昧,八惟無禪,九次第禪,慈,清淨,正見,覆面舌相",,
放光經,T 221 (7),"阿那含,阿難,阿耨多羅三耶三佛,阿耨多羅三耶三菩意,阿僧祇,阿惟三佛,阿惟越致地,阿須倫,八惟無,般泥洹,般若經,般若波羅蜜,彼岸,比丘僧,布施,不有所施、不有受者、不有與,不有戒亦不有犯,不有忍亦不有恚,不有精進亦不有懈怠,不有禪亦不有亂意,不有智亦不有愚,不善亦不惡,不增亦不減諸法之真,不生不滅之法,不住住無有異,不著亦不斷,不有為亦不無為,菩薩,菩薩德,菩薩記者,菩薩摩訶薩,菩薩神通願,菩薩道,剎利種,禪,禪波羅蜜,長者,遮迦越羅,承佛弟,持戒,畜生,癡,大慈大悲,檀波羅蜜,道場,道慧,道意,道是俗,弟子,等正覺,佛,佛乘,佛道,佛十八法,佛十種力,佛眼,佛國,佛樹下,佛身,法,法施,法性,法位,凡人法,分別諸法,羼波羅蜜,供養,鬼神,恒邊沙剎土,有漏無漏之智,有為法,有為法之法,化生,護世,恚,迦樓羅,劫,芥子,金剛三昧,拘翼,救護眾生、安隱眾生、欲樂眾生,六波羅蜜,六波羅蜜無有二入,六情,六衰,六通,羅漢,魔波旬,魔天,摩訶般若波羅蜜,摩睺勒,無礙,無斷無著波羅蜜,無極福,無漏是有漏,無為法,無為法之法,無央數,無餘泥洹,內外空,內外空之智,忍辱,淨佛國土,非人,非相亦非無相,非道亦非俗,辟支佛,辟支佛道,辟支佛法,全身舍利,繞佛,如,如來,如來五眼,薩云若,薩云若慧,薩云若者是諸法之器,三寶,三千大千國土,三界,三昧,三昧門,三十二大士之相,三十七品,三乘,三疑,三脫門,沙門,善男子、善女人,善知識,舍利,舍利弗,聲聞,聲聞法,聲聞、辟支佛地,釋提桓因,神通,斯陀含,宿命不債,須陀洹,俗法道法之智,俗數,四等,四空定,四天王,四諦,塔,天上人中,天子、天女,十方,十善,十戒功德,十二部經,陀隣尼門,轉法輪,惟逮波羅蜜,五波羅蜜,五戒,五陰,五疑,邪見,閻浮提,欲天子、色天子,緣起,閱叉,一心,一相,一法耳無有二,婬欲,有無空,有無空之智,諸根具足,諸釋種,眾生,幢幡",,
放光經,T 221 (8),"放光般若經,摩訶般若波羅蜜,佛,釋提桓因,閻浮提,十善,世尊,般若波羅蜜,無漏之法,道,辟支佛,菩薩道,菩薩,阿惟三佛,三十七品,空,三脫門,四諦,內外空,有無空,佛十種力,佛法,須陀洹道,三惡趣,斯陀含,阿那含,阿羅漢,阿耨多羅三耶三菩意,佛種,四天王,無思想無思想慧天,薩云若,四天下,小千天下,中千天下,三千大千國土,恒邊沙國土,四禪,四等,四空定,五神通,五波羅蜜,相,無相,真際,阿僧祇劫,檀波羅蜜,尸波羅蜜,羼波羅蜜,惟逮波羅蜜,禪波羅蜜,六波羅蜜,菩薩摩訶薩,無所從生法忍,神通,佛國,諸佛世尊,五陰,十二衰,六情,十八性,聲聞,緣覺,布施,持戒,一心,般泥洹,法滅盡,善本,戒,三昧,智慧,解脫,見解脫慧,大慈大悲,聲聞乘,顛倒想,無常,苦,不淨,無我,善知識,阿惟越致,空相法,漚惒拘舍羅,不二入,無倚,阿迦膩吒天,代歡喜,賢聖,戒品,三昧品,智慧品,解脫品,解脫見慧品,薩云若慧,常等行,無所著,等正覺,忉利諸天,天子,梵迦夷天,無縛無脫之法",,
放光經,T 221 (9),"放光般若經,三藏,摩訶般若波羅蜜,品,舍利弗,佛,世尊,般若波羅蜜,三界,三十七品,五荒見,邪徑,正導,薩云若,習緒,菩薩,佛法,空,生死,三轉十二事,轉法輪,諸佛,辟支佛,阿羅漢,須陀洹,十善,四禪,四等,四空定,五通,內外空,有無空,佛十種力,十八法,釋提桓因,尊者,拘翼,菩薩摩訶薩,漚惒拘舍羅,初發意,法欲盡,善本,五波羅蜜,道,度,化,五陰,諸法,善法,惡法,俗法,有漏無漏法,有為無為法,色,痛想行識,六情,色聲香味細滑法,十八性,十二因緣,阿耨多羅三耶三菩,大度,六波羅蜜,阿惟三佛,泥犁品,泥犁,如來,無所著,等正覺,十方,阿僧祇劫,二,佛國,眾生,淨佛國土,聲聞,慢意,劫盡,畜生,炎樓,薜荔,弟子,斷法,五無間罪,壞法,沙門,僧,正見,魔,惡知識,瞋恚,性,果淨,吾我,婬怒癡,名色,六入,栽,覺,愛,受,有,生,死,明淨品,泥洹,過去法,未來法,現在法,布施,功德,菩薩道,無礙慧,檀波羅蜜,善男子,善女人,寂,法性,無作品,有常無常,苦樂,有我無我,淨不淨,僧那僧涅,精進,要誓,三千大千剎土,劫,恒邊沙,比丘,戒,三昧,智慧,解脫,見解脫慧,斯陀含,阿那含,三寶,習,人,非人,幻,化,影,響,真際,不可思議,四天王,首陀會天,梵天王,彌勒菩薩摩訶薩,賢劫,不生不滅,法師,諸天,六齋,三惡趣,天道,人道,梵志,長者,剎利,三十三天,四無所畏,凡人,法身,憂鉢羅華,拘勿投華,分陀利華,閻浮提,天子,無所從生法忍,一,無相,無願,般泥洹,尊祐福田",,
放光經,T 221 (10),"般若經,三藏,摩訶般若波羅蜜,須菩提,世尊,般若波羅蜜,空,諸法,寂靜,常空,無所有,無字,事行,痛想念,生死,消,不生,無所為,無有作者,智,無有壞,夢,響,光影,炎,幻,無著,緒,不斷,不戲,貢高,不動轉,法性,無住,無念,想行,婬,恚,癡,冥,垢,狐疑,眾生,兩際,不受,無所礙,聲聞,辟支佛地,分別,擇,不可平相,無常,苦,師子,無有我,內空,外空,內外空,空空,大空,至竟空,有為空,常空,無有際空,所作事空,性空,諸法空,自相空,有無空空,無為法,有為法,自相寂,四意止,身痛意法,四意斷,神通,四神足,五根,五力,七覺意,八字,無願,無相,脫,八惟無,九次第禪,檀,戒,羼,惟逮,禪,慧,十力,勇悍,分別智,佛法,如來,自然,自在,阿惟三佛,真知識,釋提桓因,善男子,善女人,功德,受持,諷誦,供養,劫,六波羅蜜,舍利弗,菩薩,阿惟越致,三十七品,佛十種力,十八法,薩云若慧,拘翼,薩云若,道慧,習緒,法輪,須陀洹,斯陀含,阿那含,阿羅漢,辟支佛道,三耶三菩佛道,比丘僧,四無所畏,五陰,眼耳鼻舌身意,色聲香味細滑法,十二衰,阿耨多羅三耶三菩,受記莂,菩薩摩訶薩,佛座,善本,閻浮提,四事,施與,仁愛,利人,同義,十善,四禪,四空定,佛國土,陀隣尼門,身相,童真地,三界,清淨,留難,魔波旬,天魔波旬,天眼,惡趣,比丘,比丘尼,優婆塞,優婆夷,三乘,泥曰,法欲盡時,大乘,綺語,三脫門,俗法,轉輪聖王,漚惒拘舍羅,菩薩乘,不生不滅",,
