attribution,term_introduced_by,num_terms
An Shigao,An Shigao,583
Lokakṣema ,An Shigao,167
Lokakṣema ,Lokakṣema ,665
Zhi Yao,An Shigao,45
Zhi Yao,Lokakṣema ,31
Zhi Yao,Zhi Yao,87
Yan Fotiao and An Xuan,An Shigao,57
Yan Fotiao and An Xuan,Lokakṣema ,24
Yan Fotiao and An Xuan,Yan Fotiao and An Xuan,75
Yan Fotiao and An Xuan,Zhi Yao,1
Kang Mengxiang,An Shigao,72
Kang Mengxiang,Kang Mengxiang,167
Kang Mengxiang,Lokakṣema ,46
Kang Mengxiang,Yan Fotiao and An Xuan,10
Kang Mengxiang,Zhi Yao,7
Vighna and Zhi Qian,An Shigao,97
Vighna and Zhi Qian,Kang Mengxiang,15
Vighna and Zhi Qian,Lokakṣema ,36
Vighna and Zhi Qian,Vighna and Zhi Qian,157
Vighna and Zhi Qian,Yan Fotiao and An Xuan,10
Vighna and Zhi Qian,Zhi Yao,4
Zhi Qian,An Shigao,232
Zhi Qian,Kang Mengxiang,56
Zhi Qian,Lokakṣema ,249
Zhi Qian,Vighna and Zhi Qian,21
Zhi Qian,Yan Fotiao and An Xuan,36
Zhi Qian,Zhi Qian,716
Zhi Qian,Zhi Yao,16
Zhi Qian,Dharmarakṣa,12
Zhi Qian,Kang Senghui,2
Zhi Qian,Mokṣala,3
Kang Senghui,An Shigao,98
Kang Senghui,Kang Mengxiang,28
Kang Senghui,Kang Senghui,109
Kang Senghui,Lokakṣema ,89
Kang Senghui,Vighna and Zhi Qian,5
Kang Senghui,Yan Fotiao and An Xuan,14
Kang Senghui,Zhi Qian,36
Kang Senghui,Zhi Yao,11
Mokṣala,An Shigao,189
Mokṣala,Kang Mengxiang,28
Mokṣala,Kang Senghui,7
Mokṣala,Lokakṣema ,257
Mokṣala,Mokṣala,654
Mokṣala,Vighna and Zhi Qian,11
Mokṣala,Yan Fotiao and An Xuan,14
Mokṣala,Zhi Qian,100
Mokṣala,Zhi Yao,16
Dharmarakṣa,An Shigao,366
Dharmarakṣa,Dharmarakṣa,3029
Dharmarakṣa,Kang Mengxiang,92
Dharmarakṣa,Kang Senghui,52
Dharmarakṣa,Lokakṣema ,505
Dharmarakṣa,Mokṣala,277
Dharmarakṣa,Vighna and Zhi Qian,63
Dharmarakṣa,Yan Fotiao and An Xuan,54
Dharmarakṣa,Zhi Qian,413
Dharmarakṣa,Zhi Yao,47
Dharmarakṣa,Dharmanandi and Zhu Fonian,6
Dharmarakṣa,Dharmarakṣa and Nie Chengyuan,1
Dharmarakṣa,Fa Ju and Fa Li,2
Dharmarakṣa,Kumārajīva,10
Dharmarakṣa,Kumārajīva and Xiao Yaoyuan,16
Dharmarakṣa,Sajghabhūti and Zhu Fonian,6
Dharmarakṣa,Saṃghadeva,6
Dharmarakṣa,Zhu Fonian,4
Dharmarakṣa and Nie Chengyuan,An Shigao,65
Dharmarakṣa and Nie Chengyuan,Dharmarakṣa,64
Dharmarakṣa and Nie Chengyuan,Dharmarakṣa and Nie Chengyuan,23
Dharmarakṣa and Nie Chengyuan,Kang Mengxiang,15
Dharmarakṣa and Nie Chengyuan,Kang Senghui,3
Dharmarakṣa and Nie Chengyuan,Lokakṣema ,74
Dharmarakṣa and Nie Chengyuan,Mokṣala,11
Dharmarakṣa and Nie Chengyuan,Vighna and Zhi Qian,1
Dharmarakṣa and Nie Chengyuan,Yan Fotiao and An Xuan,8
Dharmarakṣa and Nie Chengyuan,Zhi Qian,43
Dharmarakṣa and Nie Chengyuan,Zhi Yao,4
Fa Ju,An Shigao,64
Fa Ju,Dharmarakṣa,28
Fa Ju,Fa Ju,29
Fa Ju,Kang Mengxiang,5
Fa Ju,Lokakṣema ,53
Fa Ju,Mokṣala,10
Fa Ju,Vighna and Zhi Qian,3
Fa Ju,Yan Fotiao and An Xuan,3
Fa Ju,Zhi Qian,15
Fa Ju,Zhi Yao,1
Fa Ju and Fa Li,An Shigao,110
Fa Ju and Fa Li,Dharmarakṣa,80
Fa Ju and Fa Li,Dharmarakṣa and Nie Chengyuan,2
Fa Ju and Fa Li,Fa Ju,1
Fa Ju and Fa Li,Fa Ju and Fa Li,53
Fa Ju and Fa Li,Kang Mengxiang,45
Fa Ju and Fa Li,Kang Senghui,7
Fa Ju and Fa Li,Lokakṣema ,100
Fa Ju and Fa Li,Mokṣala,10
Fa Ju and Fa Li,Vighna and Zhi Qian,29
Fa Ju and Fa Li,Yan Fotiao and An Xuan,10
Fa Ju and Fa Li,Zhi Qian,31
Fa Ju and Fa Li,Zhi Yao,10
Zhu Fonian,An Shigao,317
Zhu Fonian,Dharmarakṣa,749
Zhu Fonian,Fa Ju,8
Zhu Fonian,Kang Senghui,33
Zhu Fonian,Lokakṣema ,393
Zhu Fonian,Mokṣala,215
Zhu Fonian,Vighna and Zhi Qian,65
Zhu Fonian,Zhi Qian,260
Zhu Fonian,Zhi Yao,40
Zhu Fonian,Zhu Fonian,799
Sajghabhūti and Zhu Fonian,An Shigao,258
Sajghabhūti and Zhu Fonian,Dharmarakṣa,268
Sajghabhūti and Zhu Fonian,Dharmarakṣa and Nie Chengyuan,2
Sajghabhūti and Zhu Fonian,Fa Ju and Fa Li,4
Sajghabhūti and Zhu Fonian,Kang Mengxiang,36
Sajghabhūti and Zhu Fonian,Kang Senghui,8
Sajghabhūti and Zhu Fonian,Lokakṣema ,182
Sajghabhūti and Zhu Fonian,Mokṣala,79
Sajghabhūti and Zhu Fonian,Sajghabhūti and Zhu Fonian,829
Sajghabhūti and Zhu Fonian,Vighna and Zhi Qian,16
Sajghabhūti and Zhu Fonian,Yan Fotiao and An Xuan,19
Sajghabhūti and Zhu Fonian,Zhi Qian,99
