term,term_introduced_by,document_frequency
十現色入,An Shigao,2
麤語,An Shigao,2
五陰地,An Shigao,2
愛欲蓋,An Shigao,2
身得猗,An Shigao,2
三十七品經法,An Shigao,2
聞法經,An Shigao,2
相離地,An Shigao,2
四飯,An Shigao,2
天下道人,An Shigao,2
貪欲惡,An Shigao,2
身六痛,An Shigao,2
五陰種,An Shigao,2
可覺意,An Shigao,2
想盡識,An Shigao,2
八世間法,An Shigao,2
不淨思想,An Shigao,2
淨極淨,An Shigao,2
後世因緣,An Shigao,2
七流,An Shigao,2
染泥,An Shigao,2
身六更,An Shigao,2
風熱寒,An Shigao,2
五陰慧,An Shigao,2
身六識,An Shigao,2
非賢者法,An Shigao,2
八種道行,An Shigao,2
亦不樂亦不苦痛,An Shigao,2
三縛結,An Shigao,2
受生盡,An Shigao,2
念侵,An Shigao,2
墮母腹中,An Shigao,2
多思想,An Shigao,2
拔其本根,An Shigao,2
受生種,An Shigao,2
守攝根,An Shigao,2
清溷,An Shigao,2
天人輪,An Shigao,2
黑觀,An Shigao,2
一證受止,An Shigao,2
戒寶,An Shigao,2
五道識,An Shigao,2
度世智慧解脫,An Shigao,2
知結盡,An Shigao,2
棄戒,An Shigao,2
知往生何所,An Shigao,2
瞋恚瘡,An Shigao,2
度世無為道,An Shigao,2
八解脫處,An Shigao,2
思想種,An Shigao,2
三清淨行,An Shigao,2
非常行,An Shigao,2
意已解脫,An Shigao,2
四瘡,An Shigao,2
了習,An Shigao,2
不熟器,An Shigao,2
刀葉樹,An Shigao,2
不信令信,An Shigao,2
苦厄度歸趣,Baoyun,2
伏心之醉象,Baoyun,2
證三道,Baoyun,2
十六梵志,Baoyun,2
生死苦厄,Baoyun,2
宣化度,Baoyun,2
鳴大正法珂,Baoyun,2
智慧弦,Baoyun,2
醫耆域,Baoyun,2
迦羅衛首家,Baoyun,2
覺意之瓔珞,Baoyun,2
憂婆替,Baoyun,2
守禁戒精進,Baoyun,2
滅其苦清涼,Baoyun,2
天帝杵,Baoyun,2
拘夷諸力士,Baoyun,2
智慧之大地,Baoyun,2
正法大蓋,Baoyun,2
正平路,Baoyun,2
寂滅衣,Baoyun,2
釋尊王,Baoyun,2
滅無為安,Baoyun,2
慈悲師,Baoyun,2
慈觀意,Baoyun,2
起滅合散,Baoyun,2
道品所修行,Baoyun,2
相如光炎,Baoyun,2
愛憎火,Baoyun,2
熾盛塵勞苦世,Baoyun,2
悅澤樹王,Baoyun,2
四正諦,Baoyun,2
諸佛不共意,Baoyun,2
善來賢明士,Baoyun,2
清淨調意,Baoyun,2
淨意向佛,Baoyun,2
正法之鼓,Baoyun,2
犍陟,Baoyun,2
受莂當為佛,Baoyun,2
覺意如泡,Baoyun,2
緣宿行,Baoyun,2
佛本行德,Baoyun,2
捺女林,Baoyun,2
牢強忍鎧,Baoyun,2
福德山,Baoyun,2
胞胎之獄,Baoyun,2
淨居宮,Baoyun,2
愚癡以慧滅,Baoyun,2
滅盡諦,Baoyun,2
尼連禪江,Baoyun,2
貢高幢,Baoyun,2
天人稽首禮,Baoyun,2
地獄中求樂,Baoyun,2
泥洹甘果,Baoyun,2
貪婬意,Baoyun,2
欲界塵勞王,Baoyun,2
離犍,Baoyun,2
覺正諦法,Baoyun,2
五幽谿谷,Baoyun,2
恩愛欲縛,Baoyun,2
梵居天,Baoyun,2
漏原,Baoyun,2
梵摩踰,Baoyun,2
誹聖眾,Baoyun,2
滅塵勞陣,Baoyun,2
慈明法,Baoyun,2
忍辱德,Baoyun,2
八十八勞結,Baoyun,2
塵勞戰,Baoyun,2
千輻理成,Baoyun,2
正諦諦觀,Baoyun,2
空無意身,Baoyun,2
三達普智,Baoyun,2
家天王,Baoyun,2
鹿野之園,Baoyun,2
梵志鴦掘魔,Baoyun,2
六通備具,Baoyun,2
諸佛無緣終不妄笑,Baoyun,2
慧江流,Baoyun,2
甘露觀,Baoyun,2
百福德相貌,Baoyun,2
八聖賢,Baoyun,2
舍利甖,Baoyun,2
理光佛,Baoyun,2
智慧度生死,Baoyun,2
皎明成羅漢,Baoyun,2
方面佛,Baoyun,2
海馬王,Baoyun,2
迷世間,Baoyun,2
佛之決言終無改異,Baoyun,2
覺慧之淵海,Baoyun,2
一切智藥光,Baoyun,2
琉璃輿,Baoyun,2
滅定羈靽,Baoyun,2
邪趣門,Baoyun,2
邪導,Baoyun,2
正諦路,Baoyun,2
梵清音,Baoyun,2
無常箭,Baoyun,2
一切智聖師,Baoyun,2
蛇虺篋,Baoyun,2
世間厚冥,Baoyun,2
覺解達,Baoyun,2
離俗向道場,Baoyun,2
施戒之輦輿,Baoyun,2
四等大慈蓋,Baoyun,2
剃頭修淨行,Baoyun,2
甘露蜜漿,Baoyun,2
正法之乳湩,Baoyun,2
苦滅處,Baoyun,2
勇進梵志,Baoyun,2
興出作佛,Baoyun,2
聖達一切敏意,Baoyun,2
魔王將軍,Baoyun,2
覺悟眾生類,Baoyun,2
祇樹之中,Baoyun,2
解髮前以布地,Baoyun,2
無礙諸善法,Baoyun,2
慈乳,Baoyun,2
千目執金剛,Baoyun,2
三株,Baoyun,2
正法之芙蓉,Baoyun,2
解脫決定法,Baoyun,2
苦海岸,Baoyun,2
普慈覆世,Baoyun,2
愚冥獄,Baoyun,2
瞋慊,Baoyun,2
一切智池,Baoyun,2
龍阿修倫藏,Baoyun,2
紅華獄,Baoyun,2
愚嫉心,Baoyun,2
婬怒癡炎,Baoyun,2
五體禮佛足,Baoyun,2
老死淵,Baoyun,2
善本福德力,Baoyun,2
憎愛二大垢,Baoyun,2
正法甘果,Baoyun,2
沈無漏脫,Baoyun,2
金剛帝聖種,Baoyun,2
塵勞阿須倫,Baoyun,2
吾法身,Baoyun,2
往還不還道,Baoyun,2
四種道證,Baoyun,2
累劫相好功德,Baoyun,2
清信曰,Baoyun,2
甘軟言雨,Baoyun,2
三十二妙好,Baoyun,2
魔箭,Baoyun,2
德相慧,Baoyun,2
疾慳妬,Baoyun,2
大智慧樹,Baoyun,2
塵勞聚,Baoyun,2
證溝港,Baoyun,2
行呪自活,Baoyun,2
法籥,Baoyun,2
四諦臺,Baoyun,2
寂清涼,Baoyun,2
計緣逆得勝,Baoyun,2
塵勞象,Baoyun,2
月精解渴珠,Baoyun,2
魔心戰,Baoyun,2
聖尊舍利,Baoyun,2
宿世殖百福,Baoyun,2
珍寶之臺渚,Baoyun,2
忿恚恨,Baoyun,2
貪婬瞋恚火,Baoyun,2
魔冥,Baoyun,2
塵勞澤,Baoyun,2
慈愛眾生,Baoyun,2
欲枷鏁,Baoyun,2
塵勞電,Baoyun,2
簇髮梵志,Baoyun,2
無著弟子,Baoyun,2
長夜冥,Baoyun,2
甘蔗王苗裔,Baoyun,2
調御六情馬,Baoyun,2
離欲禪,Baoyun,2
師子應步,Baoyun,2
苦起之緣,Baoyun,2
佛之大海淵,Baoyun,2
龍之王,Baoyun,2
槃塔山,Baoyun,2
迦樓陀,Baoyun,2
五情投地,Baoyun,2
師子形相,Baoyun,2
塵勞之山,Baoyun,2
梵寂箭,Baoyun,2
四部大弟子,Baoyun,2
攝意知足,Baoyun,2
自守戒車,Baoyun,2
王舍分衛,Baoyun,2
華嚴大城,Baoyun,2
羅旬擩,Baoyun,2
決定上願,Baoyun,2
大悲之意,Baoyun,2
四諦頌,Baoyun,2
一切智首冠,Baoyun,2
六度車,Baoyun,2
覺意花之精,Baoyun,2
施戒及智慧,Baoyun,2
戒律行,Baoyun,2
塵勞林,Baoyun,2
天樂般遮翼,Baoyun,2
貢高慢山,Baoyun,2
塵勞樹,Baoyun,2
墜墮離別苦,Baoyun,2
定餬,Baoyun,2
甘露八正道,Baoyun,2
慈悲蔭覆,Baoyun,2
生死縛著,Baoyun,2
無為如還家,Baoyun,2
悲心之角,Baoyun,2
菩薩意定,Baoyun,2
智慧之川谷,Baoyun,2
智慧鋼鈎,Baoyun,2
普慈眾生,Baoyun,2
瞋恚用慈除,Baoyun,2
泥洹池,Baoyun,2
一心存念佛,Baoyun,2
最勝法藥,Baoyun,2
大無結天,Baoyun,2
定意鎧,Baoyun,2
無障眼,Buddhabhadra,2
佛海三昧,Buddhabhadra,2
阿僧祇轉,Buddhabhadra,2
欲械所繫,Buddhabhadra,2
一切智洲,Buddhabhadra,2
諸佛密處,Buddhabhadra,2
不可量轉,Buddhabhadra,2
依止虛空住,Buddhabhadra,2
專心內觀,Buddhabhadra,2
翻覆三昧,Buddhabhadra,2
生貴住,Buddhabhadra,2
師子乳,Buddhabhadra,2
涅槃性集,Buddhabhadra,2
無上智寶,Buddhabhadra,2
無行行慧,Buddhabhadra,2
自在諸通,Buddhabhadra,2
善逝智,Buddhabhadra,2
淨法海,Buddhabhadra,2
宿命無礙智,Buddhabhadra,2
饒益戒,Buddhabhadra,2
起智不可盡,Buddhabhadra,2
鐵網地獄,Buddhabhadra,2
依善知識住,Buddhabhadra,2
教化於諸天,Buddhabhadra,2
住於四禪,Buddhabhadra,2
菩薩行性,Buddhabhadra,2
調御師法,Buddhabhadra,2
智慧神通道,Buddhabhadra,2
世間無量方便神通,Buddhabhadra,2
佛位地,Buddhabhadra,2
有想無想差別,Buddhabhadra,2
腐碎,Buddhabhadra,2
菩薩勝行,Buddhabhadra,2
深信佛智慧,Buddhabhadra,2
莊嚴閻浮提頂,Buddhabhadra,2
摩尼寶蓋,Buddhabhadra,2
無上菩提道意,Buddhabhadra,2
寂滅智解脫,Buddhabhadra,2
蜂蠆,Buddhabhadra,2
菩薩道集,Buddhabhadra,2
生死一切世間,Buddhabhadra,2
有為性集,Buddhabhadra,2
如來使天,Buddhabhadra,2
雪山頂,Buddhabhadra,2
諸根平等,Buddhabhadra,2
菩提心枝,Buddhabhadra,2
無依無作神足,Buddhabhadra,2
出入不二,Buddhabhadra,2
金剛窟,Buddhabhadra,2
薩婆若力,Buddhabhadra,2
舍那婆斯,Buddhabhadra,2
伊尼羅寶,Buddhabhadra,2
無上智慧光明,Buddhabhadra,2
無畏之法,Buddhabhadra,2
光無際,Buddhabhadra,2
顛倒根,Buddhabhadra,2
無師寶,Buddhabhadra,2
如來道明,Buddhabhadra,2
轉無礙法輪,Buddhabhadra,2
玻瓈器,Buddhabhadra,2
離欲定,Buddhabhadra,2
法界道,Buddhabhadra,2
不二三昧,Buddhabhadra,2
夜摩王,Buddhabhadra,2
修功德力,Buddhabhadra,2
同一善根,Buddhabhadra,2
垢濁剎,Buddhabhadra,2
師子王三昧,Buddhabhadra,2
菩提海,Buddhabhadra,2
妙神足,Buddhabhadra,2
上地義,Buddhabhadra,2
離疑戒,Buddhabhadra,2
佛族姓,Buddhabhadra,2
童蒙眾生,Buddhabhadra,2
諸佛智慧不可盡,Buddhabhadra,2
寂滅境界,Buddhabhadra,2
自覺道,Buddhabhadra,2
普賢願行法,Buddhabhadra,2
足相輪,Buddhabhadra,2
無來去處,Buddhabhadra,2
如來憶念,Buddhabhadra,2
三十七助菩提分,Buddhabhadra,2
不離念十地,Buddhabhadra,2
繫心想,Buddhabhadra,2
寂滅光,Buddhabhadra,2
平等智身,Buddhabhadra,2
一切智樹,Buddhabhadra,2
水中像,Buddhabhadra,2
愛恚結,Buddhabhadra,2
顯現自在法,Buddhabhadra,2
欲渴愛,Buddhabhadra,2
妓樂雲,Buddhabhadra,2
不著一切有,Buddhabhadra,2
善臂神,Buddhabhadra,2
聖主道,Buddhabhadra,2
金剛菩提心,Buddhabhadra,2
憂喜已滅,Buddhabhadra,2
聲聞辟支佛法行,Buddhabhadra,2
六巧便,Buddhabhadra,2
正直寶,Buddhabhadra,2
功德不可議,Buddhabhadra,2
閻羅王界,Buddhabhadra,2
嫌恨猛風,Buddhabhadra,2
大千塵數,Buddhabhadra,2
如來法身非是身,Buddhabhadra,2
天德藏菩薩,Buddhabhadra,2
翻覆剎,Buddhabhadra,2
無障礙力,Buddhabhadra,2
止足想,Buddhabhadra,2
有漏無漏法行,Buddhabhadra,2
佛智寶,Buddhabhadra,2
普賢大願,Buddhabhadra,2
念佛三昧門,Buddhabhadra,2
脾腎心肝肺,Buddhabhadra,2
功德之器,Buddhabhadra,2
無上一切智慧,Buddhabhadra,2
穿漏法,Buddhabhadra,2
灌頂地,Buddhabhadra,2
無為性集,Buddhabhadra,2
平等境界,Buddhabhadra,2
諸佛願海,Buddhabhadra,2
硨磲器,Buddhabhadra,2
陰流,Buddhabhadra,2
了法實相,Buddhabhadra,2
無師道,Buddhabhadra,2
密果天,Buddhabhadra,2
不二觀,Buddhabhadra,2
得九次第定,Buddhabhadra,2
有漏有取心,Buddhabhadra,2
平等不二,Buddhabhadra,2
入處義,Buddhabhadra,2
如意法身,Buddhabhadra,2
第一上味,Buddhabhadra,2
金剛師子座,Buddhabhadra,2
無色界集,Buddhabhadra,2
自在諸法王,Buddhabhadra,2
諸佛神足自在,Buddhabhadra,2
虛食信施,Buddhabhadra,2
三世漏盡智,Buddhabhadra,2
癡元,Buddhabhadra,2
世間吉祥,Buddhabhadra,2
諸地從一地至一地行,Buddhabhadra,2
佛子眷屬,Buddhabhadra,2
金剛相三昧,Buddhabhadra,2
滅除諸障礙,Buddhabhadra,2
十種自在力,Buddhabhadra,2
樂求佛智,Buddhabhadra,2
最勝塔,Buddhabhadra,2
螺文,Buddhabhadra,2
世智功德,Buddhabhadra,2
平等法心,Buddhabhadra,2
大法明雨,Buddhabhadra,2
好醜想,Buddhabhadra,2
遊騰十方,Buddhabhadra,2
多踊悅,Buddhabhadra,2
不自在無我,Buddhabhadra,2
不動王菩薩,Buddhabhadra,2
轉復厭離,Buddhabhadra,2
普慧菩薩,Buddhabhadra,2
無礙梵行,Buddhabhadra,2
世間垢濁不信,Buddhabhadra,2
現無癡菩薩,Buddhabhadra,2
不共因,Buddhabhadra,2
淨法界三昧,Buddhabhadra,2
臥像,Buddhabhadra,2
信心不可壞,Buddhabhadra,2
栴檀德藏菩薩,Buddhabhadra,2
閻羅趣,Buddhabhadra,2
如來無上善根,Buddhabhadra,2
膿爛潰,Buddhabhadra,2
數門,Buddhabhadra,2
梵眷屬天,Buddhabhadra,2
碼碯寶,Buddhabhadra,2
授一生記,Buddhabhadra,2
長養佛法,Buddhabhadra,2
三乘化,Buddhabhadra,2
變化之身,Buddhabhadra,2
慳貪之垢,Buddhabhadra,2
牟尼主,Buddhabhadra,2
