czjj_no,title_zh,taisho_no,attribution,term,term_introduced_by
1,四十二章經,T 784,,佛,An Shigao
1,四十二章經,T 784,,阿難,An Shigao
1,四十二章經,T 784,,大眾僧,
1,四十二章經,T 784,,比丘,An Shigao
1,四十二章經,T 784,,末法,
1,四十二章經,T 784,,威儀,Kang Mengxiang
1,四十二章經,T 784,,持鉢,
1,四十二章經,T 784,,邪命,Zhi Qian
1,四十二章經,T 784,,阿羅漢,Lokakṣema 
1,四十二章經,T 784,,結業身,
1,四十二章經,T 784,,餓鬼,An Shigao
1,四十二章經,T 784,,善知識,An Shigao
1,四十二章經,T 784,,人道,Lokakṣema 
1,四十二章經,T 784,,地獄,An Shigao
1,四十二章經,T 784,,沙門,An Shigao
1,四十二章經,T 784,,檀越,
1,四十二章經,T 784,,法會,
1,四十二章經,T 784,,供齋,
1,四十二章經,T 784,,持齋,
1,四十二章經,T 784,,信施,
1,四十二章經,T 784,,福會,
1,四十二章經,T 784,,諸天,Lokakṣema 
1,四十二章經,T 784,,鬼神,Lokakṣema 
1,四十二章經,T 784,,福德,Lokakṣema 
1,四十二章經,T 784,,天神,
1,四十二章經,T 784,,經,An Shigao
1,四十二章經,T 784,,解脫,An Shigao
1,四十二章經,T 784,,劫,Lokakṣema 
3,陰持入經,T 603,An Shigao,佛經,An Shigao
3,陰持入經,T 603,An Shigao,三部,An Shigao
3,陰持入經,T 603,An Shigao,五陰,An Shigao
3,陰持入經,T 603,An Shigao,六本,An Shigao
3,陰持入經,T 603,An Shigao,所入,An Shigao
3,陰持入經,T 603,An Shigao,色,An Shigao
3,陰持入經,T 603,An Shigao,痛,An Shigao
3,陰持入經,T 603,An Shigao,想,An Shigao
3,陰持入經,T 603,An Shigao,[衛-韋+正],An Shigao
3,陰持入經,T 603,An Shigao,識,An Shigao
3,陰持入經,T 603,An Shigao,十現色入,An Shigao
3,陰持入經,T 603,An Shigao,痛種,An Shigao
3,陰持入經,T 603,An Shigao,身六痛,An Shigao
3,陰持入經,T 603,An Shigao,思想種,An Shigao
3,陰持入經,T 603,An Shigao,身六思想,An Shigao
3,陰持入經,T 603,An Shigao,更,An Shigao
3,陰持入經,T 603,An Shigao,[衛-韋+正]種,An Shigao
3,陰持入經,T 603,An Shigao,身六更,An Shigao
3,陰持入經,T 603,An Shigao,識種,An Shigao
3,陰持入經,T 603,An Shigao,身六識,An Shigao
3,陰持入經,T 603,An Shigao,五陰種,An Shigao
3,陰持入經,T 603,An Shigao,非常,An Shigao
3,陰持入經,T 603,An Shigao,苦,An Shigao
3,陰持入經,T 603,An Shigao,空,An Shigao
3,陰持入經,T 603,An Shigao,非身,An Shigao
3,陰持入經,T 603,An Shigao,慧知,An Shigao
3,陰持入經,T 603,An Shigao,斷知,An Shigao
3,陰持入經,T 603,An Shigao,愛欲,An Shigao
3,陰持入經,T 603,An Shigao,陰貌,An Shigao
3,陰持入經,T 603,An Shigao,十八本持,An Shigao
3,陰持入經,T 603,An Shigao,十二入,An Shigao
3,陰持入經,T 603,An Shigao,自身六,An Shigao
3,陰持入經,T 603,An Shigao,外有六,An Shigao
3,陰持入經,T 603,An Shigao,四諦,An Shigao
3,陰持入經,T 603,An Shigao,習,An Shigao
3,陰持入經,T 603,An Shigao,盡,An Shigao
3,陰持入經,T 603,An Shigao,道,An Shigao
3,陰持入經,T 603,An Shigao,止,An Shigao
3,陰持入經,T 603,An Shigao,觀,An Shigao
3,陰持入經,T 603,An Shigao,三十七品經法,An Shigao
3,陰持入經,T 603,An Shigao,四意止,An Shigao
3,陰持入經,T 603,An Shigao,四意斷,An Shigao
3,陰持入經,T 603,An Shigao,四神足,An Shigao
