CSZJJ,Taisho No.,prefix_a,prefix_lao,suffix_er,reduplicated_nouns,pronoun_qu,personal_pronoun_ta,personal_pronoun_yi,notes,error
四十二章經,T 784,False,False,False,False,False,False,False,"The text exhibits a classical Chinese style, lacking the specified vernacular elements. The prefix 阿 is only used in the transliteration of '阿難' (Ānanda). The pronouns 他 (tā), 伊 (yī), and 渠 (qú) are absent, as are the prefix 老 (lǎo), suffix 兒 (ér), and reduplicated nouns.",
陰持入經,T 603,False,False,False,True,False,False,False,"The text employs reduplicated nouns such as ""身身"" (bōdy, body) for emphasis or distribution, and ""天上天下"" (heaven and earth) as a common reduplicated phrase. However, it does not utilize the vernacular prefix 阿 (ā) or 老 (lǎo), nor the suffix 兒 (ér). The second-person pronoun 渠 (qú) and the personal pronouns 他 (tā) and 伊 (yī) are also absent from this excerpt.",
大道地經,T 607,False,False,False,True,False,False,False,"The text does not use the prefix 阿 ā or 老 lǎo, nor the suffix 兒 ér. The pronouns 渠 qú, 他 tā, and 伊 yī are absent. However, the reduplicated noun '舍舍' (house after house) is present, indicating a vernacular element.",
人本欲生經,T 14,True,False,False,False,False,False,False,"The text uses the prefix 阿 (ā) frequently, as in '阿難' (Anan), which is a common vernacular element in early Buddhist translations. The prefix 老 (lǎo) is not used in a vernacular sense (e.g., as '老王'); '老死' is a fixed Buddhist term for 'old age and death'. The suffix 兒 (ér) is not used as a grammatical suffix; '男兒' and '女兒' are fixed compound nouns. There are no clear instances of reduplicated nouns (e.g., '人人'). The second-person pronoun 渠 (qú) is not present in the text. The personal pronoun 他 (tā) is not present. The personal pronoun 伊 (yī) is not present.",
阿毘曇五法經,T 1557,False,False,False,True,False,False,False,"The text does not use the prefix 阿 ā (outside of transliteration, e.g., 阿毘曇), the prefix 老 lǎo, the suffix 兒 ér, the pronoun 渠 qú, the personal pronoun 他 tā, or the personal pronoun 伊 yī. However, it does use reduplicated adjectives/nouns for emphasis, such as '勝勝' and '邪邪'.",
十報經,T 13,False,False,False,False,False,False,False,,
普法義經,T 98,False,False,False,True,False,False,False,"The text does not use the prefix 阿 ā in a vernacular sense, as its only appearance is in the transliterated name ""安息國"" (Anxi State). The prefix 老 lǎo is not used. The suffix 兒 ér is not used. The second-person pronoun 渠 qú is not used. The personal pronoun 他 tā is not used. The personal pronoun 伊 yī is not used. However, the text does use reduplicated nouns, specifically ""時時"" (shí shí) multiple times (e.g., ""時時可聞法""), which functions as a reduplication of the noun ""時"" (time/moment).",
漏分布經,T 57,False,False,False,False,False,False,False,"The text does not use the prefix 阿 ā (except for '阿含' as a transliteration), the prefix 老 lǎo, the suffix 兒 ér, reduplicated nouns, the pronoun 渠 qú, the personal pronoun 他 tā, or the personal pronoun 伊 yī. The style of the text appears formal and classical, lacking these specific vernacular elements.",
四諦經,T 32,False,False,False,True,False,False,False,"This text, translated by An Shigao in the Later Han dynasty, exhibits very few vernacular elements typical of later Chinese. It does not use the prefixes 阿 ā or 老 lǎo in a vernacular sense, nor does it employ the suffix 兒 ér. The pronouns 他 tā, 伊 yī, and 渠 qú are absent. The only potential vernacular element found is the reduplication of '念' (niàn) as '念念' (niànniàn), which, while often functioning adverbially (e.g., in '念念不忘' meaning 'constantly remembering'), can also be understood as a reduplicated noun (e.g., 'thought by thought' or 'moment by moment'), indicating a slight move towards more expressive, repetitive phrasing.",
七處三觀經,T 150A,False,False,False,True,False,True,False,"The character 阿 (ā) appears in 阿難 (Ānanda), which is a transliteration of a proper noun, not a vernacular prefix. The character 老 (lǎo) appears in 生老 (birth and old age), where it functions as a noun, not a vernacular prefix. The suffix 兒 (ér) is not present in the text. Reduplicated nouns are present, such as 人人 (rén rén, 'everyone') and 時時 (shí shí, 'from time to time'). The pronoun 渠 (qú) is not present in the text. The pronoun 他 (tā) is present, particularly in the compound 他人 (tā rén, 'others'). The pronoun 伊 (yī) is not present in the text.",
九橫經,T 150B,False,False,False,False,False,False,False,"The text, ""佛說九橫經"" translated by An Shigao, exhibits very few vernacular elements typically associated with later Chinese. The prefix 阿 (ā) is not used as a vernacular prefix, only as part of the transliterated name ""安世高"". The prefix 老 (lǎo) and suffix 兒 (ér) are absent. No reduplicated nouns are found. The second-person pronoun 渠 (qú) is absent. The personal pronoun 他 (tā) is not used as a singular third-person pronoun (""he/she/it""); its appearance in ""他人婦"" functions as ""other"" or ""another"". The personal pronoun 伊 (yī) is absent. This suggests a relatively archaic translation style, consistent with early (Later Han dynasty) Buddhist texts.",
八正道經,T 112,False,False,False,False,False,False,False,"The text, a translation by An Shigao from the Later Han dynasty, does not contain the prefix 阿 (ā) used colloquially (only as part of transliterated names like 舍衛), nor the prefix 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, or the pronouns 渠 (qú), 他 (tā), or 伊 (yī). An Shigao's translation style generally leans towards a more literal and classical rendering, lacking the specific vernacular elements often associated with later Buddhist translations or more colloquial Chinese.",
